 	vogliono	girate	</S>
t	0.728802978	0.164800153	0.10639696039
è	0.720339778	0.14937244124	0.130287769118
l	0.722010432	0.17919141352	0.098798126948
u	0.672911472	0.09552005764	0.231568428518
n	0.441950586	0.317479444	0.24056974374
e	0.283226162	0.346836079	0.369937894
v	0.1349720264	0.512864586	0.3521633832
o	0.099097111	0.58606838	0.314834428
t	0.0823671426	0.420237562	0.497395268
i	0.03585882952	0.627790212	0.33635114
m	0.0478135084	0.418354552	0.53383195
m	0.025825435	0.495431008	0.478743588
è	0.0791051454	0.302985088	0.61790976
n	0.048298678726	0.370524786	0.58117666
e	0.10398589372	0.3268503752	0.569163858
</S>	0.0411817594	0.328671842	0.630146432
