 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a	0.66473374	0.138727138	0.023822496756	0.021467508284	0.017009177434	0.0167527135514	0.0167267395484	0.0167247187599	0.0166759815263	0.0166587172221	0.0167190742811	0.0168734794634	0.0171085924486
n	0.46651209	0.279550648	0.038618322278	0.0221542246282	0.0207202032223	0.0209044524496	0.0198779130437	0.0201452391277	0.020600422139	0.0202116330281	0.0242526866261	0.023270256284	0.0231819690144
ì	0.120378428	0.238467892	0.266249972	0.0563329504	0.03988826608	0.034688587822	0.02135055799	0.0238387472619	0.0350002856595	0.0350471732321	0.0361079825814	0.0335839487844	0.0590652868434
c	0.0703818482	0.23120124	0.330578093	0.1495589112	0.03205623346	0.0234827654272	0.0175930447927	0.016795116102	0.0288250180786	0.0301206553835	0.0260507361155	0.0189033485578	0.0244530476807
h	0.0865978592	0.2427155292	0.2637054834	0.06873755364	0.0386803528	0.030538542074	0.0208286006524	0.0199477822385	0.0585554454618	0.071996090194	0.0373167948182	0.0264391077118	0.0339408399247
a	0.1841918286	0.24228392	0.1964490434	0.121342421076	0.0386616043344	0.0288346039877	0.0207908148389	0.0214107077387	0.0300391306081	0.0299413600508	0.0295783523869	0.0297511220883	0.0267250483571
n	0.0794711024	0.1408871112	0.362913532	0.171764492	0.04193400026	0.0233840464312	0.0217617266504	0.0221812649993	0.0227701349105	0.0226070762156	0.0231415648077	0.0347548262836	0.0324290074786
d	0.04532195228	0.0671233214	0.2497542008	0.239719992	0.103495734	0.03786278298	0.028021360128	0.0261797914464	0.0340390879907	0.0335157346238	0.0367722058357	0.0497287701203	0.0484647774729
ì	0.118096450432	0.12414820134	0.118608355	0.171023317	0.1257555418	0.04283009506	0.0243003339812	0.0229333747563	0.0509970396693	0.055224848205	0.0445798183951	0.0530776790902	0.048424913803
s	0.0600921612	0.082984229	0.170395174	0.2328691212	0.2556874924	0.03523362646	0.02237217618	0.0195116807894	0.0258687085267	0.0300976905315	0.0209985369465	0.0195466469314	0.0243425813332
o	0.0381940117	0.0611354058	0.1487917218	0.25514651	0.259660252	0.0416413908	0.02902962404	0.021230228116	0.0279105706958	0.0308490877402	0.0234258245291	0.0395356858712	0.0234495691817
n	0.04315562708	0.05982016152	0.088756339	0.2858325728	0.192311152	0.1740638062	0.0242514222	0.0197299272069	0.0194911731686	0.0195007218907	0.0197457035238	0.021667300677	0.0316739372041
t	0.027968127472	0.029736640928	0.04485460192	0.1770182186	0.391041694	0.133844586	0.0413961896	0.01998383692	0.0195679703656	0.0192748507261	0.0201195170867	0.037075657954	0.0381180611292
a	0.15714429249	0.06514835924	0.0619786812	0.1494578852	0.2854973244	0.0738765752	0.02645950122	0.02112512018	0.0264641994832	0.0273255532176	0.0260346227636	0.0453026133072	0.034185219951
i	0.0269004401812	0.030185021056	0.039481011	0.149268821	0.2485722308	0.27722179	0.063525933	0.02159114216	0.0203208091072	0.0203285968463	0.0209528247618	0.0375638466962	0.0440875806358
k	0.0260476212892	0.028190755522	0.03078802474	0.1005927598	0.18116708	0.314767838	0.1380550344	0.0261767732	0.020717906878	0.0205821030154	0.0212515368418	0.038959900014	0.052702595547
i	0.0993938365537	0.0511697643008	0.020688907784	0.0485171964	0.114279879	0.303345358	0.1347083374	0.05346655668	0.0217795594	0.0289347982	0.027644359414	0.0357834975886	0.060287818552
a	0.024280490616	0.02681300908	0.03127700946	0.0737709632	0.1221491026	0.303696743	0.2058247	0.050586105	0.019754406368	0.0204626563355	0.0202060800748	0.0366950874164	0.0644836024193
t	0.0187017255473	0.021904938132	0.02249482724	0.05317062238	0.0876452314	0.2157007828	0.322665342	0.0571640138	0.021046842812	0.021873158247	0.0228391547868	0.0702711006697	0.0645220771203
è	0.032717418266	0.03019606376	0.01748012582	0.0390654336	0.0778025568	0.2403769152	0.2118162652	0.0815779956	0.0259050497	0.06591598576	0.041904487764	0.0381680138412	0.0970736866282
r	0.01826322508	0.02225420408	0.02563314054	0.0412502226	0.0831628108	0.2066659788	0.262183184	0.1206219654	0.04376307046	0.0546254575084	0.0262040142111	0.0296244708873	0.0657481150547
a	0.015426379096	0.0164635301	0.018598828894	0.0352546682	0.0638005606	0.1940917112	0.293335776	0.177834034	0.043115637	0.045005222086	0.01756174968	0.0392919121359	0.0402199367066
m	0.021447961155	0.024454002	0.02598105466	0.0351962856	0.0430984964	0.0953487406	0.176174258	0.3034657804	0.0625762238	0.06442048405	0.021080984692	0.0263289466892	0.100426706229
u	0.0212691607648	0.021228797306	0.015191862288	0.02987951456	0.04311686134	0.0997459576	0.25280325	0.1568558968	0.0836762258	0.0974432616	0.0440999108	0.05217189516	0.0825174831222
t	0.019313725406	0.02047160052	0.021274821	0.0301168359	0.04410624022	0.0843302908	0.1150069148	0.288890896	0.093338623	0.0977893656	0.0179052557	0.0235612574356	0.143894385286
i	0.01152044617	0.01067550816	0.0071533727	0.013549850266	0.01815179458	0.0480992526	0.1604479256	0.1469610918	0.1057976718	0.2085844028	0.0598678872	0.11053936194	0.098651441826
n	0.0160771383332	0.0166649417	0.0167245616	0.02205622778	0.024681147344	0.0437114378	0.0860709714	0.259316898	0.1802096462	0.1134625058	0.02193632	0.036366081558	0.16272207976
ì	0.01575951635	0.01748115468	0.01701494244	0.0308522817	0.03676664868	0.0611377576	0.110442654	0.1250217906	0.121638617	0.236013198	0.0685418226	0.05623927366	0.103090311224
c	0.01421318476	0.01485494578	0.020190006652	0.028994753376	0.03432886366	0.05082432806	0.089332663	0.134918558	0.2735777192	0.2052974626	0.02144989846	0.036989458384	0.075028020588
h	0.011210843076	0.011701415488	0.01405930144	0.02468646608	0.02813424742	0.04818838792	0.0753111588	0.1436681648	0.163119265	0.2301681974	0.049012841	0.107368423602	0.09337131319
a	0.0242941677916	0.0241605770792	0.0181385555826	0.025445284942	0.03568166898	0.0524680036	0.0825870638	0.168020759	0.158762988	0.236288949	0.0807023902	0.0251651102429	0.0682845378
p	0.0097002180164	0.00925600143	0.00960105528	0.0116546236	0.012630889308	0.02145123214	0.0300526339	0.0672964814	0.16743417	0.2212608708	0.159554924	0.0664695648	0.2136373474
à	0.013540641689	0.0148747776888	0.011929552672	0.02135490088	0.028777157186	0.03596452344	0.04457089526	0.0580798762	0.0820378	0.3328104148	0.1570728914	0.05040232442	0.1485842528
r	0.0090584083574	0.010077703074	0.0168019707834	0.0192808707072	0.023914182932	0.03392583978	0.04988681164	0.0586860434	0.211659769	0.25279099	0.1145613704	0.0767747088	0.1225814144
o	0.00736503995	0.007766290726	0.010783679474	0.01411204206	0.020854718548	0.03141287324	0.0484053202	0.0790831452	0.1364640116	0.2797460452	0.14645546	0.0485758909	0.1689752724
n	0.0077587874854	0.008799197872	0.00961420626	0.013507714226	0.01436964523	0.0188414203	0.02823946994	0.03362056066	0.1141458698	0.1567724604	0.169487014	0.1274515556	0.2973921
t	0.010535223916	0.01099631558	0.015894262076	0.019065933742	0.023606664476	0.02987257868	0.0358172518	0.0444722892	0.09289236986	0.24687401308	0.1975828098	0.0823331622	0.1900570486
