 	il	lenzuolo	vuole	lavato	</S>
o	0.80873313	0.05039547022	0.046091066934	0.0511527466426	0.0436276165053
p	0.558435516	0.27023587836	0.053749549734	0.0592048787665	0.0583742406241
l	0.448201948	0.298724802	0.0869904274	0.07143552594	0.0946473141512
a	0.30608132	0.4568632	0.0836911974	0.06907344646	0.08429093064
ù	0.219103452	0.505783328	0.092452821	0.0874541677476	0.0952062345092
n	0.091854524	0.571604856	0.2031745454	0.04551111467	0.08785489041
a	0.08968036	0.390569776	0.306448918	0.05609329724	0.157207546424
t	0.1066819322	0.205508171	0.4327231	0.1366863788	0.1184004292
è	0.035298727	0.0965632502	0.4132742286	0.1508250398	0.304038576
l	0.0358686842	0.106988845	0.52480679	0.1694036288	0.1629321033
i	0.02169502598	0.0659113412	0.4505395796	0.1707763866	0.2910776046
p	0.02012078764	0.0297815362	0.0646766276	0.591070344	0.294350626
l	0.02168391283	0.0316647035	0.1275208634	0.541556598	0.2775739152
i	0.0557037982	0.0228154396	0.099753712	0.4730878512	0.3486391132
m	0.01058886662	0.01236851526	0.01879591732	0.496117254	0.462129438
è	0.0095274854548	0.01258029016	0.02894004002	0.501618224	0.447333858
n	0.01243555136	0.02745755998	0.05761031516	0.54921907	0.353277508
o	0.014658904516	0.02243365268	0.04004787002	0.619969022	0.30289057
</S>	0.01384161799	0.0173571997	0.01720432792	0.32820231	0.623394444
