 	avete	cucinato	le	verdure	</S>
i	0.742189224	0.06307201222	0.04684521987	0.0504898509704	0.0974037268579
m	0.67440644	0.1268030826	0.0587711663706	0.0478955633148	0.0921237942804
a	0.357293806	0.330845598	0.2188241336	0.0497424230736	0.0432939330325
r	0.368833146	0.354051502	0.11423051956	0.042820576094	0.120064188457
è	0.128161886	0.47872339	0.1668966008	0.0405416934006	0.18567642174
t	0.1313086594	0.5498913952	0.1591202426	0.026674102024	0.133005467218
s	0.164320796	0.51780391	0.1823947264	0.050824341866	0.0846560483192
a	0.059108998	0.4205294856	0.2648489946	0.04795473614	0.207557706446
t	0.0411592249	0.097858065	0.534594336	0.05255534146	0.273833012048
o	0.04812665712	0.082801794	0.538471786	0.144985293	0.1856143073
l	0.0315075406	0.0420905648	0.50092676	0.17003532514	0.25543978528
a	0.01489527068	0.02765603894	0.478130471	0.3161668478	0.1631513164
l	0.028483599676	0.032544102194	0.3374395474	0.364297178	0.237235533
à	0.013631371874	0.0246493175	0.3745717	0.385474371	0.2016733652
c	0.0177343942	0.06594880292	0.2157527896	0.4645866208	0.23597743768
h	0.024665961624	0.02398991822	0.2638646948	0.4637125692	0.223766883
a	0.038600444018	0.06278839354	0.44862327	0.2890923187	0.160895581
n	0.029569281204	0.0256652396	0.167233681	0.376675948	0.400855772
a	0.01734509217	0.01673879816	0.1846425908	0.527480548	0.253793041
</S>	0.01862147003	0.02400023052	0.146504706	0.2201129732	0.59076059
