 	qui	ancora	stanno	con	la	luce	accesa	e	stanno	svegli	</S>
e	0.696941002	0.06395886761	0.029022314984	0.026979934129	0.0260953077747	0.0258508924334	0.0258749767858	0.025758786497	0.0258055252001	0.0262909141384	0.0274214600609
t	0.546969738	0.2003681808	0.024599829096	0.0220683344622	0.0225158275924	0.0235568430266	0.0259055205202	0.0287846943897	0.0437639748076	0.0212285496717	0.0402385086094
t	0.3982075452	0.317225844	0.0857039254	0.0263719176	0.024685542982	0.0220872994747	0.0223561286694	0.022056622705	0.0226373091347	0.02140959879	0.0372584415492
ù	0.54127029	0.1781592662	0.03824968624	0.029854651576	0.0318020751821	0.0231175619322	0.0316555873932	0.0324558875608	0.0324304236356	0.0233169793885	0.0376875608916
a	0.3297904464	0.423618322	0.03525051206	0.023563903899	0.0291438054648	0.0189683523251	0.0320667285945	0.0240077551429	0.0262690099116	0.0195145328855	0.0378066906316
n	0.0883826978	0.609089464	0.0766154022	0.027262560732	0.0263375698825	0.0231530701935	0.024612579915	0.0250775967762	0.0408604126648	0.0222373633785	0.0363712934185
k	0.126387173	0.4330955192	0.179012487	0.0513391424	0.03037732816	0.0240293745143	0.0241583479269	0.0240193469774	0.0241417235343	0.023240797498	0.0601988447167
ò	0.258179248	0.1977109314	0.198613977	0.06422402026	0.05728433572	0.0282118759348	0.0523671209136	0.036004874295	0.0348721316598	0.0275211712425	0.045010365517
r	0.0843172926	0.2880129106	0.33673182	0.0770120834	0.03784745582	0.0185090218736	0.0382479360755	0.023158583942	0.0253480081137	0.0182832642195	0.0525315551084
a	0.0631943132	0.311968525	0.285826428	0.1233950798	0.04336702278	0.02671666914	0.0298580161774	0.0249207481866	0.0238158818426	0.0306639524431	0.0362733062223
s	0.0540472226	0.1459775958	0.336317302	0.257658191	0.03915724486	0.0247880485055	0.0221652432458	0.0221807726747	0.0343889749692	0.0236902444886	0.0396291133069
t	0.03888941038	0.085524525	0.37344293	0.2407370972	0.0635106646	0.04034273024	0.02482527892	0.0238950589159	0.0229158809457	0.0318386645043	0.0540776951455
è	0.12410022084	0.1088999488	0.280403284	0.19904746	0.0599968584	0.03553636234	0.0345117279438	0.0289893315824	0.0288155466321	0.0287593981554	0.0709400576321
o	0.0350711776	0.062424093	0.2527060056	0.330419374	0.128811894	0.02322873708	0.031719921782	0.0190177676566	0.0412388891298	0.0188017273348	0.056560297422
n	0.025010519528	0.043155076208	0.2190741406	0.315565511	0.1864216512	0.03224755546	0.0230005322	0.0182584473495	0.0595859202389	0.0222740704553	0.0554065627108
m	0.030029934312	0.049176006828	0.0815923612	0.298311198	0.253794398	0.0689734136	0.02339158793	0.0193590836578	0.0206322118984	0.0351148149062	0.119624853201
o	0.14179826746	0.04231991666	0.0783946114	0.2358277254	0.1135928256	0.099880731	0.08556281306	0.0367267305832	0.035320243508	0.026982630977	0.103593349546
l	0.02050176963	0.02869677852	0.0879504444	0.167268805	0.3134190686	0.163177178	0.0373972678	0.019653098206	0.0604298622337	0.0274661529719	0.0740396463975
ì	0.02280545524	0.0327751141	0.0684084136	0.1363756392	0.317496866	0.1923910064	0.04397426868	0.02072303796	0.025122857638	0.0498820763886	0.090045199719
m	0.01786144028	0.035813637352	0.0619467842	0.1569705686	0.423841518	0.10589921	0.0496624662	0.021511812432	0.02697152037	0.0137697629412	0.0857512701896
o	0.024426087336	0.0336134188	0.05275497774	0.130601107	0.2580467348	0.2430149172	0.0743495778	0.03435420416	0.031397440056	0.0293356623694	0.0881058086645
a	0.020016583296	0.030709166008	0.0355027176	0.1106004758	0.215593704	0.28210908	0.1265221986	0.02872136894	0.054408365564	0.0200572835724	0.0757590711728
n	0.01523782922	0.020510041734	0.02441805834	0.0598005106	0.192788654	0.2193936352	0.203874128	0.0624465726	0.0909347821	0.0374789816	0.07311691442
a	0.024005412634	0.02770596938	0.050168843444	0.06092629594	0.1591346906	0.1604156308	0.201526472	0.1092478966	0.05073610172	0.0489499552188	0.107182721048
m	0.019921921708	0.026798747516	0.02906649366	0.04725022368	0.088414668	0.1204343026	0.351211976	0.1392557512	0.07438719232	0.026437738592	0.07682093074
