 	non	ho	dove	d	andare	</S>
e	0.790341686	0.05160263519	0.042493719486	0.037309784188	0.040016764674	0.0382354648321
n	0.619948462	0.1584340474	0.06539437632	0.0732811504188	0.0402342102879	0.0427078365049
è	0.165777511	0.437467224	0.14263311566	0.0713526878	0.0829906056159	0.099779009775
c	0.2218358992	0.45596566	0.163576458	0.0633839112	0.046605356145	0.0486327658504
h	0.070618605	0.290718915	0.368206548	0.131746175	0.05916561022	0.079544147614
o	0.06291521712	0.2093278686	0.500560484	0.11866481768	0.05508148659	0.0534501390666
p	0.0365250612	0.0977450912	0.451163158	0.264751704	0.03927791806	0.110536986054
u	0.022036464424	0.0625807462	0.36565693	0.30531364506	0.1198433348	0.1245687754
è	0.02410176608	0.0229005472	0.1088819216	0.5469889476	0.1664675922	0.13065918128
n	0.0208416162532	0.01976861602	0.09175390286	0.4077763176	0.311430852	0.1484286352
a	0.039460625498	0.035486553524	0.0883261456	0.364490736	0.3526586022	0.11957725154
p	0.0102100596148	0.014828367134	0.019666377512	0.06526893528	0.727541908	0.16248436
à	0.01795708906	0.02383972836	0.05187444178	0.0465756552	0.566469522	0.293283426
o	0.0091032210856	0.013367058814	0.0251479838	0.066238041	0.73958994	0.146553594
</S>	0.0121277063082	0.007511189424	0.0139986656	0.05607476162	0.393676726	0.516610988
