 	che	vende	buon	pane	</S>
k	0.781556032	0.0709640594	0.04226069132	0.058370978776	0.0468481968152
a	0.70993297	0.0986507912	0.062505268508	0.0577171860137	0.0711936025941
i	0.555802308	0.25386803	0.061298079827	0.048253997996	0.0807776051494
p	0.154597128	0.667876634	0.081147984838	0.0289576364952	0.067420630984
u	0.0916222654	0.435329508	0.29010972626	0.0790768131	0.1038617006
l	0.175261962	0.523268798	0.1766750478	0.03786114167	0.086933010966
ì	0.0793015302	0.446439868	0.3141302636	0.0717768554	0.08835135232
t	0.113024796	0.311456254	0.359752328	0.0562355564	0.15953102542
s	0.07092237326	0.412857486	0.3486676176	0.0483252178	0.1192274005
o	0.0735117592	0.209090516	0.3521600964	0.154277126094	0.210960559932
m	0.05530042624	0.0770287322	0.2973452536	0.269797864	0.3005276206
ì	0.01515627364	0.0513873466	0.1804518596	0.519774402	0.2332301508
k	0.016584897766	0.0491933874	0.1149381234	0.569436986	0.249846582
a	0.022980145768	0.07679049984	0.1063172368	0.561485032	0.232427302
l	0.012947937332	0.02083168112	0.1691864104	0.466221616	0.330812398
ò	0.009213410016	0.02212010996	0.05359235864	0.60139982	0.313674252
</S>	0.0114010547276	0.038026542712	0.10367680044	0.433574652	0.413321108
