 	il	cibo	ee	vuole	mangiato	subito	e	presto	</S>
t	0.785528352	0.0461595888	0.0256998415988	0.023775528965	0.0232087420917	0.0232495236345	0.0232127168005	0.0252723631231	0.0238932429509
o	0.63658647	0.12647918076	0.04095224756	0.0296707999584	0.0276822483698	0.0335889156938	0.0324494368053	0.0407400276826	0.0318506664603
f	0.455706302	0.302810473	0.040121223932	0.0327568229929	0.0292516718819	0.0304304137443	0.0308806981745	0.0415133773232	0.03652884677
à	0.383524964	0.2306355052	0.0815709568	0.0606168436	0.040280437	0.0423323889684	0.037086036947	0.0573666010091	0.0665864586847
i	0.12156707	0.607160622	0.0702083814	0.037295022416	0.0323549201427	0.0330544774956	0.0305895774868	0.0340017806953	0.0337680705304
e	0.076318955	0.410967278	0.2446867826	0.088861618	0.031618653976	0.0372288892722	0.0344219875458	0.0388755051283	0.0370204135529
e	0.0621425343	0.1987992232	0.390448164	0.128488213	0.03516664232	0.0534960610142	0.0463842812884	0.0411455046062	0.043929348798
t	0.0541923879	0.1032174686	0.29573515	0.270663818	0.0465975652	0.072757687292	0.0673995825017	0.0405130731242	0.0489232858034
è	0.0512983296	0.0681263888	0.166990746	0.326949343	0.0813156752	0.075441816	0.06487622776	0.0632360544376	0.101765488248
l	0.0548848564	0.0978774628	0.2022053652	0.371096565	0.072545024	0.0467353458626	0.0347629848893	0.045602868888	0.0742893986327
i	0.03767742368	0.0579377924	0.24174959	0.352766178	0.0819515038	0.059254396322	0.0395085888028	0.0461786799789	0.0829757112868
f	0.042464785268	0.0448331953	0.1158229802	0.275652569	0.352108254	0.0469926794	0.03322368644	0.0338572850154	0.0550445809711
a	0.037531743674	0.02770193524	0.1205697376	0.33467051	0.17975046	0.136503176	0.0570426915	0.04226047244	0.0639691351884
m	0.04081159794	0.04237402786	0.072062214	0.1758929982	0.4131897188	0.065744341	0.0458353836	0.043629008188	0.10046060541
è	0.020533556396	0.01589280478	0.0353189553	0.1306130294	0.15559671	0.3601345012	0.0913208594	0.0878655476	0.10272408852
n	0.02514814134	0.03038899552	0.048203113	0.1483014366	0.3760487666	0.150686968	0.0540636756	0.03411108242	0.133047876962
o	0.029205455358	0.032114754218	0.0467702774	0.1360446436	0.261957564	0.26059414	0.0918528371	0.04393821246	0.097522106374
s	0.01914719822	0.018461567544	0.0225886552	0.0380094048	0.2501334248	0.255557366	0.21415461	0.080724313	0.1012233858
ù	0.011161125376	0.00942231257	0.01481014102	0.0337309762	0.2056094636	0.352858926	0.131603926	0.0983612976	0.14244185192
b	0.01325887338	0.013975210502	0.02103745972	0.0339080764	0.148353147	0.292768224	0.273745576	0.101395536	0.1015579036
i	0.009347738512	0.0114653721	0.0157427711	0.03324828804	0.0866355436	0.212981081	0.218824936	0.235716446	0.1760379689
t	0.0103422581	0.010054288792	0.01203549024	0.0136665478	0.0515543425	0.1038163278	0.323525988	0.274380158	0.200624698
o	0.007135633872	0.005177201012	0.008681092572	0.0118764178	0.0325684946	0.149877836	0.322234362	0.285167194	0.177281676
è	0.012029942698	0.0108957070048	0.01145293946	0.011809998696	0.02059199566	0.0335655751	0.17018896832	0.417321606	0.312143336
p	0.005838372966	0.00579683461	0.005843018218	0.00733643795	0.01249384164	0.0361910485	0.0969369594	0.70877524	0.1207882266
r	0.006515202206	0.00672972834	0.008111271718	0.012126429212	0.02194994978	0.0502380868	0.1109015568	0.58961669	0.193811076
è	0.007922077806	0.0012717531	0.002690990636	0.0044606043	0.00708129598	0.0248344968	0.1079514508	0.658803218	0.1849841478
s	0.005438690548	0.006319601288	0.00550613024	0.006153779434	0.012848544342	0.01615567978	0.0481889932	0.5500019	0.349386738
t	0.005009833226	0.004510563568	0.005824743396	0.007358848628	0.011260384632	0.0276359056	0.068320317	0.587606668	0.282472772
o	0.0104611593407	0.00218112142162	0.0039269110632	0.004707958642	0.009538632674	0.02668119268	0.044152846	0.598209302	0.30014105494
</S>	0.008972801738	0.011421345998	0.007712935926	0.008916741168	0.01072231168	0.01753699374	0.0296271452	0.502507248	0.402582488
