 	perché	aveva	lavorato	molto	</S>
j	0.633113928	0.115939751	0.10006521935	0.0848668209814	0.0660143736739
a	0.650705624	0.08591387348	0.0721157501782	0.0900423687456	0.101222362912
t	0.640928812	0.1239844754	0.0479153385064	0.0740847571153	0.11308660007
ì	0.221661236	0.343789212	0.12534788894	0.106672524829	0.202529133454
ì	0.2932464558	0.526541983	0.04498766147	0.0445521864368	0.0906717234137
c	0.2142414078	0.595877212	0.0693824788	0.0388342030605	0.0816645217228
h	0.178116289	0.283208238	0.2876148894	0.0901670868242	0.160893640626
e	0.2048330614	0.360587946	0.2613916192	0.079814272508	0.0933731153976
p	0.0753640746	0.284859178	0.472713758	0.03937032654	0.12769281598
o	0.0577354208	0.163390496	0.537251014	0.09691400866	0.1447092458
l	0.0695828748	0.156215469	0.58501413	0.0584088584	0.13077878832
e	0.028350866318	0.0672885464	0.64003858	0.1391797222	0.1251423044
m	0.0650199644	0.107093742	0.460911874	0.1455283948	0.2214460874
ì	0.015279113636	0.02634381724	0.423184036	0.411311818	0.123881217
s	0.0273955146	0.0706887102	0.235990882	0.4287485588	0.2371763108
o	0.0179329836	0.0497397894	0.403587428	0.2652033828	0.263536354
n	0.01199988754	0.025349036	0.095591809	0.53894976	0.328109582
t	0.01092666394	0.01959344072	0.157547114	0.496650102	0.315282568
a	0.02960832258	0.0323102758	0.18201834	0.463980906	0.2920822188
p	0.006606527272	0.0102842968	0.01959767564	0.524007828	0.439503714
o	0.006733023876	0.00897414096	0.102180232	0.579201976	0.302910706
d	0.00766449858	0.01419041708	0.026059925	0.552386444	0.399698742
d	0.006179027854	0.01103410268	0.097706769	0.543540308	0.341539822
h	0.007674398132	0.03729257988	0.09435560712	0.61528352	0.245393974
ì	0.002919142298	0.01467813072	0.06676490492	0.675739524	0.2398983432
</S>	0.0098308758866	0.020292035152	0.0598958256	0.469863588	0.44011754
