 	deve	essere	bianco	</S>
è	0.787583296	0.0696676068	0.0645857773	0.0781633905672
n	0.647106022	0.197372921	0.0752222838349	0.0802987153008
a	0.516150422	0.282508668	0.071826496	0.12951436114
è	0.248288136	0.5452323168	0.06378071385	0.14269889096
n	0.0747810412	0.641802756	0.1373063366	0.1461098493
e	0.1296374719	0.332960398	0.292862464	0.2445395438
à	0.1339746692	0.2243085834	0.5126450568	0.1290715948
s	0.02802022658	0.0961561636	0.65865975	0.2171638696
p	0.012815795386	0.0443293378	0.862635768	0.080219021
r	0.004684962734	0.06450411432	0.748896082	0.181914803
o	0.01428599246	0.0455921566	0.611154664	0.32896708414
</S>	0.01794965728	0.0474048712	0.2377910152	0.6968545
