 	si	è	rotta	la	coppa	</S>
e	0.805009796	0.04840056484	0.03837782504	0.0349344116144	0.0372614271075	0.0360159034651
g	0.510239668	0.2235439888	0.105104843	0.0453020654252	0.0646074609916	0.0512020451405
l	0.2456152253	0.292652618	0.1643609264	0.056690005266	0.163654295391	0.0770270083698
à	0.1175852138	0.220611076	0.431028216	0.06670856688	0.09815449434	0.065912355966
s	0.085413996	0.215677918	0.440695038	0.1480327137	0.0632912461201	0.0468891709541
t	0.0486513963	0.212102485	0.386568258	0.1954125104	0.09893910614	0.0583262796935
i	0.140527689	0.154849058	0.2019657855	0.306900907187	0.12085841006	0.0748981805968
e	0.0436545482	0.0644109658	0.2258982464	0.49106677	0.0426339411	0.13233566912
c	0.015464270448	0.019665719548	0.0607794364	0.471270528	0.3376519188	0.09516792892
ò	0.0110815844266	0.0128296998	0.02834104492	0.1728562114	0.674420494	0.1004710178
p	0.015353999034	0.020638863654	0.03598144052	0.2061854406	0.629356588	0.092483698
p	0.0087739092566	0.010238838639	0.01666354737	0.0638764016	0.762075632	0.1383715778
a	0.0123630691582	0.00472912461088	0.0040510567568	0.079579295	0.793086296	0.10619115326
</S>	0.008537541146	0.0098629299464	0.01371926638	0.1075417372	0.3505040794	0.509834508
