 	non	aveva	da	stare	</S>
e	0.807155836	0.058810967	0.042237446476	0.045662549216	0.0461331115146
n	0.64568991	0.1580884396	0.0588270570036	0.0686684742235	0.0687261845212
ì	0.2535820016	0.434009426	0.0810157672	0.092274379788	0.13911862792
c	0.1678759326	0.64058547	0.076998516	0.0538477306754	0.060692418766
h	0.0873635258	0.45676506	0.192789714	0.074329201	0.188752313488
e	0.095526998	0.377784722	0.363966306	0.07400726404	0.08871475222
n	0.0339169794	0.16209928	0.5680862588	0.0602076484	0.1756897972
a	0.03127211731	0.0883573582	0.56717817	0.161337051	0.1518553828
s	0.0167213499	0.025825463	0.262787675	0.535934954	0.15873033
t	0.0126391447	0.0417399298	0.2119637388	0.558770798	0.174886486
a	0.003394492496	0.01367292968	0.1595963462	0.668613318	0.1547230238
s	0.0067931472364	0.01360834774	0.0774985692	0.644188756	0.257911226
ì	0.0138400208906	0.031212620704	0.14417591716	0.2966498408	0.514121644
</S>	0.017073309044	0.013305438946	0.05192503232	0.475433297	0.442262944
