 	Valeria	legge	il	giornale	</S>
e	0.672909176	0.129646241	0.06974332486	0.0647615179812	0.0629397652343
V	0.775710466	0.0627469088	0.052560690574	0.0513147584801	0.0576672653427
a	0.602799658	0.2076926748	0.056761925348	0.0464211857843	0.0863245261345
l	0.651595164	0.1721223396	0.0547660317352	0.0506956762606	0.0708207227787
è	0.459174598	0.277616294	0.11578889048	0.0644112747086	0.0830089124072
r	0.323994396	0.526023896	0.04730274944	0.0418887854914	0.0607900892757
i	0.307103996	0.470706212	0.07487336608	0.0509849650576	0.0963313001101
a	0.191695202	0.627924694	0.05811321776	0.0427878463073	0.0794790957026
m	0.0892108904	0.55593729	0.199422553	0.0539091646352	0.101520160211
e	0.1444975856	0.347400582	0.2959898052	0.10475778674	0.1073543862
l	0.0753250046	0.205267538	0.49295427	0.0922073143264	0.13424589564
e	0.1192927726	0.2964063014	0.26616129	0.1451413838	0.1729981406
t	0.03301238432	0.094910956	0.55805557	0.126858188302	0.187162902
à	0.08549659814	0.1053666266	0.414468548	0.2025412156	0.19212697
o	0.034790738	0.129334052	0.4929319	0.1587403901	0.1842029338
g	0.020861623254	0.03162195442	0.4835795004	0.2811062656	0.1828306658
i	0.02883474166	0.0358857486	0.3430889352	0.282884512	0.3093060494
o	0.0416794637104	0.058098739884	0.18936214136	0.483122262	0.2277372938
r	0.031674368504	0.036795413946	0.14506586102	0.491022648	0.295441764
n	0.017980348494	0.010936002688	0.0738992932	0.630159652	0.2670247044
à	0.011515699842	0.011658208826	0.1340066572	0.49356975	0.349249591
l	0.0154203733834	0.025667908048	0.17604297	0.467444288	0.315424422
e	0.012891788105	0.009584942376	0.0852990102	0.58383213	0.308392161
</S>	0.0150421500991	0.01583563638	0.084050515	0.312129886	0.572941868
