 	lo	sentii	che	viene	</S>
t	0.796129526	0.04751733218	0.045348912184	0.0639570202366	0.0470471137349
o	0.737699202	0.0960372036	0.0492714059292	0.0610624130794	0.0559298947615
n	0.4973225	0.327330976	0.0569195739158	0.0566618371817	0.0617649868039
ì	0.209729696	0.3272115106	0.1456389976	0.119010151754	0.19840980238
k	0.129432579	0.449153914	0.2528904406	0.06373429494	0.104788894826
u	0.110772746	0.30640778	0.2836533	0.0938471902	0.2053189949
s	0.07780932	0.193059976	0.538388732	0.0661432466	0.12459858366
a	0.02551630638	0.0527926166	0.576602212	0.1564586712	0.18863023666
n	0.04267302166	0.075783189	0.329908525	0.2240217702	0.3276133894
a	0.033152502632	0.04393737122	0.26008539	0.502670436	0.1601544486
r	0.020971204954	0.02646411288	0.06430089212	0.516723306	0.371540388
t	0.008378217166	0.011620312332	0.0417100414	0.642877422	0.2954139294
i	0.190542310868	0.010898588	0.0581755573	0.40663706482	0.3337466096
</S>	0.016028360114	0.016449052992	0.0375587004	0.33915452	0.590809364
