 	quando	è	arrivato	Giovanni	Anna	stava	e	dormiva	</S>
m	0.7217565092	0.061169016544	0.0422628301699	0.0308881122806	0.0271781462403	0.0324354512569	0.0263313771937	0.0276527972425	0.0303257064763
ò	0.441668086	0.10336534486	0.095754500436	0.0516420926026	0.0526219806164	0.0516833400286	0.048795464909	0.0537174384411	0.100751853002
t	0.57989578	0.2045747088	0.042661836341	0.0303747355623	0.0266763691153	0.0265603523865	0.0265511536656	0.0281985371214	0.0345065460915
t	0.383220366	0.256137131	0.11036502136	0.0443826503682	0.0508132597383	0.0423688307993	0.0335887925011	0.0399591280525	0.0391648649428
i	0.331633708	0.161374148962	0.18121300107	0.0756053419667	0.0624626261796	0.0574486299091	0.0409610140407	0.0415223517042	0.0477792740034
è	0.1588279762	0.527457284	0.0918626223	0.04404599279	0.0314151439653	0.0323155241837	0.0330901493559	0.037411557158	0.0435738631837
t	0.116088886	0.388306184	0.301689654	0.0382703724696	0.028173438902	0.0287970411183	0.0247584934197	0.0268415375995	0.0470744634694
t	0.12858096	0.30773475	0.293883407	0.0686216043	0.039769160456	0.036834020674	0.0275558887614	0.0359686253173	0.0610515076515
a	0.284349776	0.15342438	0.16472081	0.127888691023	0.0769800542669	0.0662657112484	0.0371680018224	0.0394341397681	0.0497684718639
s	0.0560299622	0.294773858	0.396655136	0.0662232811	0.031539140985	0.0330059003084	0.0329874304915	0.0346768652044	0.0541084670991
e	0.038455065	0.2063388228	0.3988069244	0.1020046878	0.050099654168	0.0444807501353	0.0312510748916	0.0431524355768	0.0854105864201
o	0.04245804212	0.124900124	0.291097306	0.35273748	0.02924292828	0.0284623863835	0.0308662130219	0.0331449460776	0.0670906349686
G	0.02831859866	0.04768443772	0.1624640544	0.498592292	0.0559992204	0.0374487888882	0.0541605067938	0.0365798055033	0.0787524353211
i	0.09525233726	0.07878497112	0.28070608	0.1990807334	0.0756327494	0.0882989854	0.034487322554	0.0556529041446	0.0921041208496
o	0.03743814932	0.072207781	0.2009686912	0.469616688	0.0416575784	0.02644562864	0.0340329214173	0.0347544441409	0.0828782804623
v	0.0285586422	0.04200530886	0.1285665662	0.2545420738	0.2035373048	0.06550625459	0.0939608125196	0.0564804418869	0.126842646037
à	0.0886227344	0.07313447546	0.18653564	0.213386068	0.0810661146	0.0742594884	0.05970894654	0.06624280628	0.157043751566
n	0.02397102146	0.0407008071	0.132224469	0.3660275082	0.2273410842	0.0599254222	0.0168019067004	0.043543752429	0.0894640490501
n	0.0289741704	0.05105613786	0.1146207324	0.2375473386	0.240664986	0.1074975864	0.02670003188	0.05298342209	0.139955352244
i	0.054367762	0.0589189698	0.0895190366	0.2691307232	0.236537752	0.108354344	0.026513979388	0.0440681536574	0.112589254291
e	0.01582419032	0.02017842288	0.05816416372	0.2826589414	0.3356396084	0.088611163	0.04828620188	0.0349050459514	0.115732415945
A	0.016328768804	0.019021180148	0.02943139782	0.1135479704	0.4433431924	0.1149318356	0.083391389	0.0378614092306	0.14214290045
n	0.01132707788	0.01594524158	0.041744423	0.1341927346	0.450939208	0.1389362682	0.05110574218	0.050820943588	0.104988464442
n	0.05021641768	0.0170499605	0.04499902588	0.1309852836	0.3723359826	0.1297248768	0.0578871179	0.071146457456	0.125655021014
a	0.03109353328	0.03048594279	0.02478097954	0.08986307566	0.4401335906	0.145697916	0.0360721857	0.06026095274	0.14161174936
ì	0.01161906708	0.01195438242	0.0206939412	0.05100126034	0.2381534708	0.27104178	0.1512933	0.0789722941	0.16527037388
s	0.010814182094	0.01081286459	0.0217838523	0.06507183584	0.2133239424	0.35660274	0.14791855684	0.07729250316	0.0963792628
t	0.05352681564	0.01137869968	0.03349768754	0.0833687854	0.214377134	0.2431133272	0.152581977	0.1010620424	0.1070935448
i	0.06072526552	0.01604613506	0.0266999336	0.05129882092	0.1629435092	0.179878932	0.191929323	0.164146529	0.14633173972
g	0.00997377918	0.01102272536	0.01543718206	0.02610070174	0.0853807958	0.229373776	0.2444112258	0.110120632	0.268179156
g	0.01725620242	0.009114704054	0.016196691834	0.03132345086	0.0965244374	0.1819889912	0.27044819	0.158522311	0.2186250672
h	0.04149752572	0.011004228216	0.00899223374	0.03344930846	0.0623697534	0.25199301	0.181730228	0.203905234	0.2050583475
e	0.016992851828	0.00493414525	0.00725195432	0.0162670882	0.0615644406	0.316828786	0.1936591524	0.1936287446	0.188872959
c	0.006963040512	0.00625537104	0.00743620399	0.01493227228	0.02982941934	0.0877970516	0.2039322296	0.2907881	0.35206637
è	0.01190818146	0.010105465332	0.014661352928	0.02029516906	0.0381242521	0.0771822374	0.1774508624	0.376200942	0.2740715532
p	0.00995568692	0.008698103746	0.01425179452	0.02719857184	0.03852955396	0.0799265086	0.1495037228	0.320816602	0.351119416
l	0.006213041746	0.006711982734	0.01224477627	0.02337564424	0.046978335332	0.06775967554	0.1223880192	0.4697976754	0.244530944
o	0.006869558736	0.006641074532	0.005927632034	0.014357876252	0.02934546816	0.0891256806	0.242680068	0.316532972	0.2885195218
n	0.012426303578	0.006615101142	0.007192092598	0.01018465395	0.013367825212	0.02310141198	0.091991086	0.354183124	0.480938498
n	0.008625683156	0.00670654285	0.00810249043	0.01229138384	0.0281550035	0.04107437452	0.104169528	0.490437074	0.300437954
e	0.022700452182	0.01011255818	0.00749287366	0.01649586828	0.03057464856	0.0509934864	0.1172922962	0.286433738	0.45790404
</S>	0.01487319035	0.007506308962	0.0109241449408	0.015366946982	0.01099360338	0.01851716907	0.0684287326	0.433465562	0.419924432
