 	se	si	era	vestito	il	mio	fratello	l	avessi	portato	con	me	</S>
a	0.664913046	0.1361457222	0.02476288945	0.021753744534	0.0171905987128	0.016948319308	0.017303953408	0.0167546847428	0.0167233020204	0.0167682802341	0.01668049868	0.0168588880429	0.017196102883
n	0.457441358	0.284375912	0.045066159774	0.0223207102922	0.0201369801266	0.0195692780998	0.0193065750726	0.0197098982453	0.0195988764266	0.0198788291174	0.022039939144	0.0275892001968	0.0229663850434
ì	0.1181093092	0.250063426	0.267571404	0.0520012446	0.03829430936	0.031153743832	0.019258485482	0.0288639808133	0.0312179653292	0.0313951911209	0.0335432529349	0.0467066696086	0.0518211290804
c	0.06109015	0.207662132	0.352645886	0.170455106	0.03245418084	0.0195633834244	0.0169646179084	0.0178226760846	0.0225251748664	0.026598157539	0.0236904054085	0.0248245134091	0.0237037556033
h	0.0909031944	0.2240518912	0.2683770528	0.085331906	0.04318980562	0.0267337540871	0.0198244219218	0.0226368295161	0.0347070559397	0.0711500090991	0.038514300833	0.0361733484842	0.0384063890635
e	0.147304256	0.205036144	0.2030462915	0.183329682208	0.055620225306	0.026769759282	0.0218635225707	0.0237002055829	0.0251419809474	0.0264858274378	0.0286511812501	0.0282335850736	0.0248172163217
n	0.0571160056	0.1186932506	0.317014959	0.2478048932	0.0582757612	0.0321284214737	0.0226472424505	0.0229899351543	0.0213435374763	0.0211300244729	0.0228982383691	0.0273347744301	0.030623021659
d	0.0340209084	0.0617578598	0.245325224	0.302826328	0.1125795494	0.0365273459792	0.025047041146	0.0316756999998	0.0259907282496	0.0258060988407	0.0288952133458	0.0329614687015	0.0365866828675
i	0.12832983504	0.09884871748	0.149501292	0.1980287072	0.13691024668	0.044176049734	0.0320135191334	0.0341084419923	0.029102440808	0.0402725533806	0.0335361159074	0.0365819560033	0.0385900192071
s	0.02828664784	0.0383440754	0.1063776006	0.294371824	0.294991338	0.045667452288	0.0271767187688	0.0266136037183	0.0231369999378	0.0217444178748	0.0241854917349	0.0303791404417	0.0387247560616
ò	0.030543967994	0.03790037876	0.0742770468	0.253032198	0.330318592	0.0466470098	0.028734615234	0.025154729972	0.0253047749986	0.0281324477412	0.0277043714801	0.0390851905259	0.0531645589046
n	0.03004258902	0.0380534611	0.0939671608	0.2277856178	0.283570706	0.14874355556	0.025256561174	0.0261248945516	0.0233827274727	0.0249857991701	0.0197127405175	0.0242977277776	0.0340765178076
t	0.025712626446	0.04897244053	0.0619869306	0.177839376	0.407853221	0.0677043928	0.03841660141	0.0446217761408	0.0212640293887	0.0230733793705	0.0202187244919	0.0202833950242	0.0420531863045
a	0.126681760606	0.06829411918	0.0400201318	0.124464062	0.289004982	0.094734111	0.05468243824	0.04599024108	0.0272949381863	0.04070698066	0.0262417515088	0.0272739236069	0.0346106487215
o	0.026875644438	0.028022224028	0.03754925926	0.1051484836	0.26653285	0.2935607788	0.0581799252	0.061868216226	0.0233333292462	0.0210838375755	0.0203454073601	0.0229543751966	0.0345458481336
a	0.024707278246	0.05343180056	0.02708314028	0.06244673674	0.1975927824	0.336865192	0.0904627164	0.08986428624	0.022112943306	0.019280376943	0.0183407295425	0.0211537046212	0.0366581410559
d	0.0317612851211	0.05134334033	0.02820385644	0.0525899438	0.1532664248	0.3070038386	0.107251852	0.1222013196	0.02211213642	0.0184884243784	0.0206171602872	0.0332472558143	0.0519132614057
e	0.0303476719296	0.055808364324	0.021707785028	0.0611070516	0.1308374564	0.28794343	0.1100728192	0.089869224	0.03143693092	0.0466694445841	0.0482030189611	0.0335762631321	0.0524205393923
r	0.023490698572	0.0294597129	0.0264003589	0.05078451652	0.098285402	0.2154046482	0.266407118	0.13985562	0.028428191834	0.0221910876613	0.0202984553463	0.0231051550763	0.0558889106587
f	0.026097636554	0.031097739784	0.024007302874	0.05014913592	0.111120955	0.166491806	0.1877810052	0.0925120586	0.0502308446	0.072963755028	0.053088789656	0.0463736912088	0.0880853623537
ò	0.0197311299267	0.0259700931849	0.0239885034	0.031452001774	0.0583587236	0.272880595	0.099590712	0.124198574	0.0663010302	0.0680308362044	0.0486874933643	0.0531347038619	0.107675559446
m	0.0225751364588	0.02321719777	0.026256513846	0.0415558554	0.0896274727	0.1028304024	0.300180429	0.1221342062	0.0747047408	0.07653506374	0.022266837462	0.0331907651688	0.0649253079132
m	0.0201413045	0.03110984204	0.0189873805	0.04029400078	0.06041967532	0.1024172212	0.230388389	0.169242282	0.0904541448	0.0855415102	0.04760822875	0.0536050403532	0.0497908387938
u	0.02138546031	0.02016640578	0.02121025338	0.04421813494	0.07521071	0.303059925	0.12842323728	0.1271569074	0.05392007556	0.05959790234	0.041537665482	0.0502634440495	0.0538496878748
o	0.021080667656	0.02326137716	0.0227058831	0.02530753586	0.03515066794	0.07534363	0.204359223	0.2428438456	0.130376988	0.07549376514	0.0298163413	0.0341403859134	0.0801197282865
n	0.0258966059698	0.038608565392	0.01781961996	0.02067661808	0.032283063	0.0643605478	0.12641602	0.206418464	0.2030018806	0.0914991512	0.04550769164	0.037371972636	0.090139873284
ì	0.023432434854	0.04935805648	0.021772278766	0.035768459296	0.043602101072	0.0570498408	0.0880841516	0.1905346584	0.1347687962	0.1326329496	0.08825423814	0.04421195944	0.0905301338393
c	0.024738466268	0.027118145242	0.026619049764	0.033985424906	0.051853055532	0.0964258386	0.100905436	0.1462415864	0.184503778	0.1789370592	0.03485561322	0.025179925942	0.06863656029
h	0.017107954115	0.03353263304	0.01839490071	0.03419451134	0.037934715628	0.04777023202	0.0722888563	0.1434414528	0.1222658696	0.2301060892	0.07160739532	0.100505614681	0.070849798876
a	0.0343764412452	0.025026048014	0.019295199408	0.026475250192	0.035738669446	0.07688478824	0.05736406146	0.13294101	0.240988919	0.2421132372	0.0434595784	0.0252759440203	0.040060725976
p	0.016584097404	0.02000655027	0.016927920348	0.01795948174	0.02080221564	0.0277571612	0.0502703134	0.0646102334	0.189760956	0.258951857	0.10426786	0.0838963213	0.12820501052
à	0.0323322325946	0.0366379444408	0.013944383474	0.019952512418	0.02427340728	0.03454926946	0.03557702199	0.06253919046	0.095408819	0.310989682	0.14505751	0.08267888632	0.106059349
r	0.015895920946	0.03278920735	0.01830451719	0.025459770242	0.02420876862	0.03960840314	0.0490055536	0.05879525052	0.1778337372	0.249917822	0.121975644	0.0827161272	0.1034892636
o	0.009304336794	0.020678855312	0.010649004604	0.018444110924	0.017289366208	0.03267107208	0.0428774922	0.0560404628	0.1320719182	0.303390922	0.133113772	0.0937396374	0.1297292316
n	0.0128599964645	0.015598212646	0.013703817026	0.01620777631	0.016420420872	0.019403824748	0.0298704731	0.027115464	0.075203306	0.1420158896	0.1777204524	0.2157062196	0.2381740068
t	0.018299631516	0.020663064244	0.021504222444	0.026007024628	0.0237221652372	0.02692022642	0.031191117306	0.0356784962	0.0783632338	0.2358801788	0.2115307026	0.118742024	0.15149787
a	0.04320981972	0.02537830549	0.01746544764	0.01999757136	0.0255834236	0.04565172812	0.025742978872	0.04082137654	0.0540967806	0.206729876	0.2003585	0.15740255612	0.137561657
m	0.0065481996286	0.007470631288	0.006427224324	0.00686963507	0.00763161418	0.00855053718	0.01120862214	0.01232457014	0.0347247804	0.0742252448	0.237347294	0.2778921912	0.30877929
a	0.010098431034	0.0101413218656	0.00266040972	0.01535325642	0.01957656173	0.02622649378	0.02675493302	0.03263151918	0.02888401014	0.121994011	0.25991012	0.2309014534	0.214867426
m	0.005647580842	0.005840101402	0.005125600604	0.006369576242	0.006709097826	0.00779166176	0.010212034308	0.01050587281	0.017616213212	0.02728801062	0.15789650826	0.4171457492	0.321852218
è	0.00839351158	0.00657748238	0.00157718984	0.00915588912	0.01389882704	0.020682731148	0.019198743248	0.02510340541	0.022526231206	0.09462433202	0.2602920224	0.2658502036	0.2521193002
n	0.003548879756	0.004498623652	0.0061903372832	0.004714243828	0.006282347224	0.009930278184	0.01178369376	0.011657010408	0.01840122332	0.038813995	0.1041753448	0.468303468	0.3117005712
a	0.0102897939	0.01228957752	0.01122313652	0.0125136102	0.01326522296	0.014921759226	0.018715494	0.0163634277	0.03017827318	0.06949104422	0.1421074475	0.359048248	0.289592994
</S>	0.0054245692402	0.0050547375574	0.005350207426	0.0049460391992	0.005186622876	0.005632148968	0.008938787112	0.007427713447	0.010587415072	0.013719816304	0.07023754992	0.424571054	0.432923322
