 	è	pericoloso	di	nuotare	di	notte	</S>
è	0.748374994	0.08576516888	0.034150963364	0.032908157102	0.0324921702908	0.0327013196498	0.0336071776577
p	0.404179818	0.3171974014	0.041771446346	0.0536558585266	0.0644690223413	0.0679523173248	0.0507741768105
e	0.330591076	0.4058866512	0.0674832385	0.040620799564	0.041482444388	0.0499841476025	0.0639515107524
r	0.1977859672	0.51255396	0.06659659446	0.0487866518502	0.0533886014591	0.0587106524906	0.0621775939861
i	0.1616901208	0.529648872	0.0965383266	0.05834857616	0.04271878044	0.0434660334805	0.0675893090763
k	0.1119027744	0.410790436	0.2921741112	0.04010606904	0.0385302374855	0.0428701480222	0.0636261547516
o	0.09873449556	0.444903216	0.2451242448	0.05356381388	0.056730008	0.04523566524	0.0557084197655
l	0.0689606336	0.238891657	0.465898714	0.05483680712	0.049945855148	0.0458975031153	0.0755688455341
ò	0.07329399634	0.309100398	0.3428636048	0.0720398312	0.1022020556	0.05235628424	0.048143680656
s	0.0721586736	0.157082208	0.414839958	0.1768145466	0.04313904766	0.0501054396732	0.08585991096
o	0.03052173432	0.2179869284	0.42704205	0.1618583038	0.0532275812	0.03816784713	0.0711952966852
n	0.04266704588	0.0936258108	0.357426672	0.3299805672	0.0764541036	0.023915695954	0.075930043542
a	0.035566741794	0.0688345742	0.3197656388	0.3099529966	0.1021753526	0.0340400888	0.129664366456
n	0.02541502706	0.0504475162	0.209847976	0.3575028168	0.196816546	0.0325685802	0.12740161414
a	0.030941752696	0.0456799144	0.162984115	0.3277591964	0.21721483	0.0742121482	0.14120780974
r	0.0169914702	0.0309247434	0.088938726	0.2690955214	0.30042709	0.0551643194	0.2384582056
è	0.02269302735	0.0268095729	0.0545130088	0.2382080074	0.305238781	0.1318459474	0.2206917886
t	0.01835242216	0.01558041956	0.0343457902	0.2001720358	0.3353284206	0.144234036	0.2519869018
s	0.00845417276	0.0125027005	0.0389638602	0.2175207868	0.374725246	0.1280966126	0.219736557
i	0.09750860634	0.0285970908	0.0256476534	0.11391699806	0.2742729968	0.1686398588	0.2914166558
à	0.006992186418	0.008668381886	0.00896452806	0.055298357706	0.1868742946	0.419338252	0.313863964
t	0.00576168276	0.005782861874	0.00777042902	0.0407169884	0.15834276594	0.648199194	0.133425904
s	0.010423253708	0.01111536226	0.022586743116	0.062770828	0.309519862	0.395955182	0.1876287632
e	0.0278108679366	0.02379672506	0.00726156336	0.030613834034	0.2511401598	0.38698379	0.2723930392
n	0.0219525618816	0.00818002562	0.00635724554	0.018377518914	0.1132679022	0.521567524	0.31029723
ì	0.0057456949448	0.005724241282	0.0085179942192	0.02654346012	0.1254302891	0.491677744	0.336360676
t	0.005528544008	0.005992973792	0.006190255008	0.01610444316	0.07608473976	0.667846836	0.222252132
t	0.00590754278	0.00664868348	0.01214469498	0.02150809086	0.0974168842	0.534867808	0.32150634
a	0.015847368577	0.006584484466	0.005786591784	0.011032620032	0.06742558808	0.61192237	0.2814008973
</S>	0.0233175725206	0.01070624232	0.0082738504792	0.00993545574	0.06814158846	0.429699	0.44992619
