 	la	pasta	vuole	sale	</S>
i	0.794987414	0.0659797486	0.04586169642	0.048707240421	0.0444638932599
p	0.473809368	0.3581539352	0.05517405355	0.0532888193354	0.0595737936918
à	0.360783982	0.325842551	0.1292231074	0.08886561416	0.095284960055
s	0.173588372	0.63485732	0.074244736	0.0484986194503	0.0688110920743
t	0.1487738122	0.529076982	0.1370229544	0.070845804266	0.114280415597
a	0.0451768166	0.441370178	0.252583992974	0.164436336203	0.0964327988058
ì	0.055795387	0.306719546	0.4453811	0.06586478624	0.12623928779
t	0.0237948094	0.105463416	0.6354358192	0.086119431	0.14918643608
e	0.036051678848	0.078866498	0.508696794	0.1093694942	0.2670155718
l	0.0316588672	0.05528446366	0.220235778	0.468678728	0.2241422166
e	0.02132498107	0.0369366674	0.21614266	0.430870956	0.294724572
à	0.022041849288	0.02497214044	0.0377288944	0.65599106	0.259266034
l	0.006760182934	0.00896030474	0.05518509334	0.809031988	0.1200624046
a	0.0073472807464	0.01053510072	0.04809240788	0.731753556	0.202271652
</S>	0.0155360590948	0.016895660866	0.02190319504	0.447068494	0.4985966528
