 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.53733959	0.0712836872	0.11771850882	0.0777622632	0.083001748316	0.112894375492
c	0.630496314	0.05448078168	0.050667456226	0.0604182322734	0.0978171244017	0.106120167388
h	0.4511638026	0.323515787	0.0651790354	0.048437254428	0.054148173814	0.0575558966957
a	0.436296677	0.3439515566	0.0902383176	0.04286358506	0.0432497841157	0.043400125628
n	0.4017937186	0.4100168	0.044570031	0.0424789184606	0.0436352306201	0.0575053504944
a	0.317792014	0.445686158	0.0512136668	0.0471724729	0.0468369898096	0.0912986720409
v	0.1400285194	0.539251792	0.1236840876	0.07048934062	0.0347097781479	0.0918365289888
o	0.04949464214	0.3029706947	0.215515036	0.238166928	0.057273065844	0.136579601781
r	0.0778155334	0.370531622	0.241451008	0.0964231546	0.0372445836657	0.176534137357
à	0.02769704072	0.335047986	0.253654652	0.1582502288	0.0768920534	0.14845817408
s	0.0589028924	0.1918189636	0.438157592	0.1264021876	0.046048194134	0.138670279883
o	0.0390694206	0.32658546	0.351158886	0.1310237368	0.03877250102	0.11338989602
t	0.03422590568	0.085859835	0.377863598	0.301781226	0.074826824776	0.125442687635
s	0.01621058108	0.0532560854	0.585364268	0.166666089	0.041616582	0.13688631312
o	0.032912228542	0.0621423514508	0.51163084	0.215950358	0.065151377264	0.112212975835
m	0.01648524818	0.0210136842	0.1773699868	0.2757073746	0.24275866	0.26666507572
ì	0.00885022872	0.01643486236	0.2602861032	0.238304602	0.2557745488	0.220349677
k	0.01990648372	0.03653106946	0.0698566354	0.39353657	0.262036784	0.2181324516
u	0.01023336052	0.0202415558	0.144378966	0.298539372	0.2748175	0.25178931
à	0.02290040026	0.021301948166	0.0507702944	0.1591334096	0.34992944	0.395964538
i	0.008170579992	0.01111371288	0.0268613778	0.1260659248	0.58077775	0.2470106156
m	0.010315343774	0.012043948126	0.0230630016	0.07878631282	0.574848508	0.300942932
è	0.0100710956	0.01184200238	0.06259494606	0.12191752	0.535872828	0.257701612
r	0.008553467006	0.020432890334	0.0236282438	0.090343563	0.51847147	0.338570343
i	0.008018824584	0.009406077436	0.024229218968	0.054794187	0.527156424	0.376395212
</S>	0.013836407356	0.013042676152	0.017530980256	0.02902306908	0.304766918	0.62179993
