 	io	non	ho	niente	da	mangiare	</S>
e	0.668290188	0.16186532528	0.0355169062052	0.0336458447121	0.032095193148	0.0342148504449	0.0343717153931
v	0.647215084	0.11436297162	0.0447156708208	0.0386870237236	0.0539681188754	0.0525110358952	0.0485400253426
ò	0.461634892	0.1052840614	0.0993991988	0.06905210086	0.067540223426	0.0860575058902	0.111031941163
e	0.281911772	0.467237686	0.0869886503	0.0488476134673	0.0349670328548	0.0390905375554	0.0409567305225
n	0.151122554	0.4858500868	0.170856548	0.04329509912	0.053060805442	0.0470589330353	0.0487559292902
è	0.0680613258	0.1798177336	0.499852184	0.078322757	0.04989223698	0.0519635980158	0.0720903543888
c	0.12759026728	0.2777324256	0.284502206	0.1907847856	0.03708281077	0.0375952957387	0.0447122308067
h	0.0660246604	0.0778319642	0.340371594	0.316949328	0.05119252514	0.0605952489692	0.0870348034
o	0.05048782962	0.0768278046	0.28400656	0.432768814	0.05344300718	0.051963640128	0.0505022891686
t	0.0344874528	0.0560775918	0.222952748	0.356193812	0.1721749794	0.05541390215	0.102699476814
ì	0.01358774726	0.0183991668	0.1055858524	0.406667236	0.1606774161	0.097372075584	0.19771063564
p	0.020236833232	0.02539184048	0.0875825708	0.483921072	0.187130092	0.0489126979	0.14682493102
o	0.0148773164	0.021328503	0.0732675934	0.399680407	0.1768021614	0.16155912996	0.15248502758
t	0.023073118696	0.0221017102	0.03842940196	0.1155069368	0.4701928254	0.1156728802	0.2150232178
i	0.011040629554	0.01189447884	0.02728358496	0.11558152672	0.406648764	0.2482381618	0.1793126784
n	0.0179835082472	0.0194319290726	0.021776117046	0.03390290594	0.3000092918	0.43181504	0.1750812524
a	0.00864631793	0.009353076462	0.014832755408	0.0490219338	0.3196946508	0.442951342	0.155499934
f	0.0095046101504	0.0111677056014	0.011476397436	0.017567129872	0.1345837288	0.642241938	0.173458486
à	0.0133433816895	0.0071097064302	0.016083777232	0.04687118756	0.1235337328	0.544260626	0.248797614
o	0.011373264638	0.022242789771	0.01317124898	0.02932674976	0.1156566704	0.604929782	0.2032993448
</S>	0.0066583354682	0.0158286236506	0.008870848958	0.019342237274	0.06235423228	0.523322162	0.36362342
