 	sto	ancora	cucinando	</S>
s	0.789200888	0.068804159588	0.073446854709	0.0685480270749
t	0.712352586	0.134580846734	0.0740891309704	0.0789772658041
e	0.684429648	0.11407075821	0.0736511185706	0.127848686574
a	0.534266438	0.3029737388	0.053931997624	0.108827816828
n	0.23209298	0.568546648	0.0923208144	0.1070395566
k	0.19572822	0.485879418	0.0917005066	0.2266917408
ò	0.343484786	0.2989341809	0.10489551674	0.2526855
r	0.1312617894	0.420128134	0.173154126	0.27545607
a	0.172770526	0.51333201	0.1031897906	0.2107076619
m	0.0760894412	0.2120659244	0.2231101208	0.48873438
a	0.1546577666	0.261683454	0.4026432548	0.1810153506
r	0.0213063417	0.0777638396	0.381709394	0.519220611
è	0.0322082323	0.0756541196	0.514183086	0.377954738
o	0.0286845678	0.0688938962	0.4433441444	0.4590773892
n	0.01221676798	0.04568518576	0.473237764	0.46886035
t	0.04152914136	0.06529701382	0.548558316	0.344615632
a	0.205943133	0.0757180572	0.3312008768	0.38713787
</S>	0.01875324348	0.04065170394	0.3426136688	0.597981358
