 	nella	pasta	vuole	sale	</S>
s	0.77779806	0.07221373426	0.049099832024	0.0538837781874	0.0470046738141
t	0.732514898	0.1039308764	0.046726808612	0.0636288915015	0.0531984793732
i	0.625509252	0.1271020183	0.0682253077394	0.0760573201358	0.103105964105
p	0.368943848	0.4304586754	0.051813376616	0.0637482126732	0.085035730008
à	0.27874508	0.389197362	0.1359011086	0.1070922222	0.0890642076
s	0.1186886332	0.615873146	0.1292340852	0.0407352297	0.0954688113508
t	0.0785114614	0.488490049	0.2256617486	0.0744283052	0.13290830264
a	0.0724566652	0.373061826	0.2427584846	0.189807192008	0.121915816456
t	0.0624672506	0.245730235	0.47309676	0.0919598482	0.1267458812
è	0.01981462796	0.0583001789	0.42721853	0.189558	0.3051086918
l	0.04239677084	0.069999609	0.54947953	0.20099871	0.1371254014
i	0.015105491332	0.04189887796	0.439359102	0.226144296	0.2774921432
à	0.02200474586	0.02731970306	0.05257917628	0.57571601	0.322380398
l	0.006166375302	0.0094653106	0.06679608066	0.789868094	0.1277041112
a	0.0086313893428	0.01264624724	0.06130227308	0.770104766	0.14731532
</S>	0.017299201736	0.018884918036	0.02262069554	0.450025256	0.491169948
