 	oggi	io	non	ho	cosa	da	fare	</S>
s	0.717172092	0.068393125508	0.0446586447533	0.0347430011802	0.0311447683847	0.0310005325431	0.0357842294185	0.037103612317
ì	0.629561091	0.07640644568	0.0390673690239	0.0449198684714	0.044529753356	0.0544891231419	0.0539892526359	0.0570371943428
m	0.731482864	0.0766076252	0.035928234838	0.0323059110514	0.0289797661322	0.0305534276718	0.0326648613102	0.0314773511516
m	0.525047062	0.18779250148	0.060764029402	0.0507715757152	0.0384739097215	0.0319273341905	0.031225638269	0.0739977958096
e	0.3421174796	0.2814784402	0.0656334937604	0.0760339769729	0.0499623550901	0.0495391993119	0.0443883143898	0.090846486698
r	0.2079185008	0.477081684	0.10458759666	0.0525822589074	0.0405348431417	0.0387025006205	0.037971954926	0.0406208566297
i	0.1374252408	0.503349218	0.1178603208	0.05871712984	0.0429555150272	0.03527425574	0.0425594354624	0.0618587914789
e	0.0941239633	0.414464674	0.2722333938	0.059143951259	0.0352653008097	0.0257753728896	0.0286361194181	0.070357228548
v	0.070380205348	0.2512245572	0.3334120212	0.1186583624	0.071035955544	0.0797818931887	0.0310856491474	0.0444213482692
ò	0.0640623546	0.1096699168	0.12664088	0.2781054608	0.1289411948	0.105654268	0.0632370737046	0.12368867841
e	0.05389079144	0.186453576	0.273918235	0.2846392822	0.07931414669	0.032556332926	0.0286955610101	0.0605322060069
n	0.026095442872	0.0667723624	0.2802891196	0.230829768	0.1947958555	0.0624646544	0.042668092392	0.096084728495
è	0.034695456706	0.0550881052	0.1358537618	0.320531128	0.195954493	0.0920150098	0.0502757540399	0.115586430735
c	0.0682392624	0.0813029122	0.147598518	0.2300586888	0.2103273026	0.1161464288	0.0328693230337	0.113457611306
h	0.03891868664	0.05119088152	0.07107404954	0.1510448618	0.22050397	0.183902512	0.146971908539	0.13639319878
o	0.03352231848	0.04502145704	0.0479145154	0.1560741388	0.2948958448	0.2005682426	0.07806582208	0.14393775708
t	0.01150387534	0.01219396908	0.02602404196	0.0588457042	0.1501805242	0.3250172908	0.179142398634	0.2370923996
i	0.009862301988	0.011643508904	0.012763228678	0.06022134466	0.1835029568	0.3535885252	0.1807312932	0.18768678
k	0.013190206708	0.0140362201326	0.022118682456	0.027484026414	0.0737018207	0.3260621288	0.2985384049	0.2248685574
à	0.00843472388	0.009244848372	0.0103361397996	0.029202314854	0.08581989502	0.201115063	0.483373548	0.1724734866
m	0.012006865314	0.01268357033	0.0253942973924	0.02126142242	0.05112187668	0.198119521	0.5029941826	0.176418187
i	0.0088938457734	0.0128896405897	0.0220997809268	0.02556217702	0.0558657265	0.206129753	0.511535594	0.157023256
</S>	0.0113415970052	0.0111921566186	0.0204488523016	0.012324784674	0.021254891626	0.0656059846	0.480291376	0.377540282
