 	i	bambini	piccoli	a	volte	si	vestono	pure	da	soli	</S>
a	0.647223041	0.135320885	0.0304557636	0.023579745862	0.023821637094	0.0234239967235	0.0230459612908	0.0231388978317	0.0230954935873	0.0232240190901	0.0236705636788
p	0.3629174268	0.371057422	0.029371908186	0.0264044520728	0.0258235370518	0.0263383490421	0.0262724765837	0.0281563671101	0.0306500126287	0.0390118069641	0.033996246465
e	0.330900784	0.3082728408	0.06674822152	0.05431633208	0.027806366556	0.0245226483456	0.0215851231994	0.026938550514	0.0288563157574	0.0553364314165	0.0547163642213
t	0.243343062	0.469251592	0.04131820194	0.0278405994644	0.0278559043798	0.0272564918497	0.0271780903229	0.0281268840547	0.030217982195	0.0401026792266	0.037508462054
à	0.2074617812	0.388935452	0.0936089958	0.0371875616	0.0286444954	0.02378601798	0.0204826136774	0.0291367584468	0.0347830143592	0.0569546456452	0.0790184830054
c	0.107177588	0.491895876	0.171904233	0.03050041644	0.0288633398412	0.0196065051182	0.0195683841542	0.0293288423048	0.028926346513	0.0301598539879	0.0420687048351
i	0.1319636228	0.437428424	0.1717156845	0.067676223	0.0373904627	0.02161341596	0.0208945655246	0.0266990896503	0.0250294391185	0.0283586458153	0.0312302938012
a	0.0960510116	0.21116893	0.368749654	0.0523715428	0.0564495046	0.031625933894	0.0283332426715	0.0311759313623	0.0319290450692	0.0400909970834	0.0520542187643
k	0.0597896629	0.115088586	0.4291135272	0.0574348794	0.11982853448	0.029627127096	0.0243164787501	0.0305057977649	0.0466349997232	0.0375006033016	0.0501598239672
è	0.09414129888	0.10014516568	0.26145042234	0.1802394856	0.118454139	0.0545781006	0.03166476286	0.026743205528	0.0384743346852	0.0414863704143	0.0526226620137
c	0.0509774144	0.1084417612	0.37617278	0.1316069048	0.125541138	0.03947645214	0.02556675917	0.0329100568044	0.0309138227276	0.0331252878732	0.0452676568656
c	0.0356173094	0.0636693671	0.256085804	0.216443758	0.2035190702	0.0537569068	0.03534318118	0.034908812578	0.0331871386844	0.0319618471997	0.0355067106976
i	0.0599172762	0.0809558502	0.13378602266	0.343146145	0.0691289436	0.0630730712	0.0458677191587	0.063231131982	0.0480571314342	0.0443699753252	0.0484669023318
a	0.0229150343	0.02638633402	0.172359882	0.2360101526	0.2331083904	0.1040709736	0.0354825055	0.0171819040148	0.0178092990348	0.0209110186375	0.113764631716
f	0.031352874208	0.033401035334	0.1001654398	0.2480388888	0.2899166444	0.1029346444	0.044474051	0.027373065156	0.0489271076232	0.0230834678398	0.0503328230249
o	0.07985383978	0.05209085821	0.07445327126	0.2443390364	0.15393088516	0.052485622	0.1292071705	0.0546312876	0.06952757808	0.0403483623528	0.049132058923
r	0.020683796514	0.021773909726	0.063029076	0.1404396086	0.1838564714	0.221459752	0.1106369712	0.0369527292	0.043631637246	0.025075527545	0.132460468397
à	0.0275238008628	0.027650194678	0.0360657848	0.1663847404	0.2442434592	0.1115200383	0.15079008024	0.0522848034	0.05384868048	0.057719881	0.0719686181256
e	0.0200444172	0.02338051016	0.0613351736	0.105206287	0.2123879196	0.158957032	0.1617276686	0.0702466975	0.02090252254	0.0235635373724	0.142248144657
n	0.017968475008	0.018311497994	0.0325816724	0.0577726788	0.1324684852	0.231505227	0.2039086086	0.0969519548	0.0369647738	0.0223495121791	0.149216940613
d	0.0269954286958	0.02700471016	0.0332273323	0.06041645388	0.164311479	0.0931733394	0.2779215481	0.1169550226	0.06100994746	0.0474196995991	0.0915649053593
ì	0.02377075801	0.023764426846	0.045929434086	0.0410944188	0.09927660731	0.0965571074	0.09571797714	0.316527676	0.079293018	0.058885462791	0.119183390704
n	0.014223911394	0.01926974619	0.0610220531	0.03499680264	0.0972390914	0.170100512	0.2692595334	0.1084099756	0.0389816448	0.0301491862966	0.156347578432
n	0.01851431984	0.018378679	0.03174957486	0.0520799179	0.0729920958	0.1459268104	0.202991926	0.191846248	0.08154436294	0.041919564265	0.142056554635
o	0.01733870777	0.01232586156	0.01529921704	0.04470651406	0.04945788536	0.1061429294	0.156576666	0.295820708	0.1051553352	0.0387629194856	0.15841303105
t	0.008326278418	0.008643585472	0.01067347088	0.01127855058	0.02309393808	0.0650581704	0.1478234509	0.2205826882	0.2171276486	0.056166983228	0.23122529832
t	0.013998217298	0.01235677158	0.00719063608	0.02164336224	0.02003409126	0.06067759582	0.1234013746	0.33578379	0.1203576192	0.09341279528	0.191143746418
e	0.005627337266	0.01038456308	0.00976212252	0.03247060996	0.0211418944	0.060697474	0.0852361889	0.355694638	0.1393213432	0.075459830914	0.20420381
p	0.012596327512	0.013064783641	0.01412468522	0.015779427958	0.0192780453728	0.04466737415	0.07818421952	0.15583518966	0.31524918	0.09564684338	0.2355739606
ù	0.00816871566	0.01314133756	0.0058707922	0.02421850362	0.01912407572	0.03335624294	0.0592897514	0.2569226066	0.214531278	0.1975873632	0.1677892742
r	0.007448558754	0.007992589014	0.011331084404	0.014637934658	0.03942827006	0.06210397138	0.0736093442	0.1656710342	0.276311624	0.124034909	0.2174305626
u	0.0062751040816	0.006645197968	0.006176525496	0.0151623155	0.01661697408	0.05024403772	0.086279382	0.2153407234	0.231332238	0.207651682	0.1582759458
m	0.0111639822344	0.0115351999	0.0126767933868	0.0144612933586	0.01507235433	0.0329690068552	0.05775689485	0.07403708796	0.28293772	0.2843685268	0.203021092
a	0.0075676977248	0.01258275862	0.008767419926	0.0314157628498	0.0276525145594	0.0356963641856	0.053329248206	0.0899383132	0.2156470322	0.227811696	0.28959131
n	0.0080516719254	0.00812045086632	0.0090274383908	0.00925482057394	0.0113273607994	0.0183076929588	0.0389207877	0.03066163099	0.2479690668	0.3473030448	0.271056012
e	0.0097174852968	0.012982889828	0.010943939612	0.0185152855916	0.0235490995402	0.024630957778	0.03920261622	0.0719253824	0.22536454	0.233808266	0.329359626
c	0.00676746313178	0.00652071936062	0.00706106553388	0.00712377996988	0.0085483834697	0.0107989569236	0.01738556677	0.01855303206	0.1255026194	0.438834032	0.352904474
h	0.0085960621652	0.0208427599814	0.0107281268048	0.0255287193108	0.0279851183446	0.031053953064	0.03600742256	0.0458098244	0.12067874006	0.251561433	0.421207976
à	0.0038094198388	0.007141850394	0.003518848652	0.025941914986	0.00395911206	0.0145518096	0.00797027564	0.1005033514	0.281809804	0.204610402	0.346183261
t	0.005141213772	0.006498473168	0.0078283458	0.006201734808	0.009867995712	0.010001986384	0.01410151926	0.01860544766	0.0743972004	0.497234696	0.35012139
u	0.0114590267284	0.011233571534	0.0082920721578	0.012608891988	0.013950523328	0.017919075201	0.01856664346	0.0389370284	0.0841955414	0.316069114	0.466768568
</S>	0.00610499985	0.0062796738584	0.006302389426	0.0063983631468	0.0077388098008	0.007340576816	0.008869831952	0.0093594455	0.0513969658	0.4449917154	0.445217228
