 	volevo	Maria	domani	di	venire	da	me	</S>
ì	0.671586484	0.050999076234	0.050965448935	0.0429591493	0.0479871446586	0.0429631962082	0.044667913548	0.0478716135105
t	0.516125008	0.171832102221	0.0538343910549	0.0443341325084	0.0349920473216	0.0468914771552	0.0748844284672	0.0571061785279
e	0.437578122	0.2501169689	0.0520833114	0.09970206512	0.0324333323	0.03673730804	0.0428684546486	0.048480594149
l	0.597399031	0.1295643976	0.0527451209874	0.0427070005714	0.0355959140824	0.0370489204243	0.0460068780913	0.058932711359
a	0.385697572	0.32380076878	0.10427470314	0.0392579722	0.032728518812	0.035007289456	0.0373613900789	0.0418715960383
e	0.4278496892	0.259964108	0.061366900448	0.04257294242	0.035271528457	0.0354770991802	0.041302665057	0.0961951984962
M	0.0814884684	0.4354325672	0.204320829	0.0713099636	0.0410948194	0.05038031762	0.0428222624805	0.0731508116995
a	0.1286434868	0.21903905176	0.17227388381	0.2008120221	0.04475051432	0.092429944175	0.062081687712	0.0799695528284
r	0.08363054	0.389501206	0.1181588764	0.1512437882	0.057139998	0.048985530368	0.046026347051	0.105313846161
ì	0.0585048666	0.20838711408	0.193380215344	0.260221304	0.04183396864	0.0479470406	0.0655891328	0.124136204948
a	0.114310617	0.4136165128	0.1744703012	0.119484826	0.0349362748	0.031288641934	0.03659745566	0.07529519956
à	0.08362290428	0.2213611502	0.2233783152	0.2552461748	0.0668481546	0.0433380796	0.02878470836	0.077420483346
v	0.04504465706	0.14480366454	0.2657807312	0.2286549928	0.1294395948	0.05324366966	0.0192190016	0.1138135485
v	0.05695283964	0.121356754	0.105772243	0.3273369196	0.1564549376	0.0748667846	0.06065287278	0.096606729296
r	0.1365662757	0.0664910893	0.1542293222	0.261555858	0.1481633886	0.0864078108	0.050962936232	0.0956232911
i	0.123206497086	0.052501794326	0.0706131119	0.31043912	0.214651776	0.0870265642	0.02783568054	0.11372547646
n	0.028292850628	0.030213520466	0.03938498806	0.1358822204	0.303037152	0.203441527	0.0558895067	0.203858164
a	0.05931513768	0.079498427472	0.04784330756	0.0999493652	0.3576228276	0.1668557334	0.03449063054	0.1544244559
r	0.011524767432	0.014761914932	0.01551814104	0.04232573028	0.2103097574	0.2462963444	0.142526588	0.3167367842
t	0.025732806412	0.030101574114	0.02775269952	0.0870445998	0.222388632	0.298102722	0.1206907846	0.1881859448
i	0.03707909316	0.016578795022	0.0227445858	0.0672122476	0.15825385954	0.310690582	0.1343203862	0.253120544
s	0.00654571482	0.00414279684	0.00389670884	0.014129228606	0.0387707052	0.2288084444	0.328669793	0.375036697
e	0.00734906526	0.01353620016	0.01234722021	0.0444837606	0.0881648846	0.359267424	0.277853106	0.1969981524
m	0.00579694264	0.001622774992	0.00196068116	0.007512482565	0.03447543838	0.1096582456	0.54596239	0.293010928
è	0.0185597716	0.039997772166	0.0257815465116	0.04163556396	0.04564119642	0.2466203308	0.288466842	0.2932969
n	0.0083941214	0.00862822102	0.02676907272	0.016415731088	0.03434180846	0.0895363006	0.515261086	0.3006537852
a	0.01697770578	0.0129234968	0.01823922396	0.02608370272	0.04493742078	0.194191892	0.486144574	0.20050203
</S>	0.00621044946	0.00255217424	0.002315118088	0.0073070358192	0.009840508729	0.0564705146	0.604971464	0.310332776
