 	sto	e	cucino	</S>
e	0.758366558	0.09732911648	0.07658606842	0.067718186924
s	0.66953103	0.162532540094	0.05719837468	0.110738089635
t	0.597693652	0.2254590664	0.08067866528	0.096168679416
è	0.620688996	0.1322868188	0.084985005264	0.162039148529
c	0.253656172	0.4744322	0.1405303328	0.131381199052
e	0.200141953	0.532944058	0.1742546974	0.0926592664
m	0.0638278302	0.3162416	0.3049599016	0.3149706526
a	0.1447020992	0.467065216	0.222874038	0.1653586428
r	0.0315905252	0.1004059274	0.36017898	0.50782463
è	0.03307190808	0.1041026808	0.367377172	0.495448194
o	0.032885316	0.1157797058	0.3946059728	0.4567290494
</S>	0.01846047422	0.06183037666	0.359931158	0.559778174
