 	l	ho	sentito	che	viene	</S>
o	0.804715902	0.04175671354	0.035379811716	0.03646630297	0.0429408299427	0.0387405107201
n	0.57341079	0.19392205	0.0813243596	0.0615208707644	0.0421160253411	0.0477058234368
ì	0.232184266	0.319306916	0.0839950069	0.103683958448	0.13274700351	0.128082852035
k	0.1620179074	0.503961542	0.1743092208	0.0579034129	0.048017408197	0.053790667324
u	0.0590246532	0.3181249868	0.3248404908	0.1153467894	0.06822320846	0.114439772732
s	0.0909407754	0.1619158772	0.391546468	0.23788006	0.039526622656	0.07819022228
a	0.0248619361	0.0488362758	0.3143815512	0.454021612	0.082548815246	0.07534983814
n	0.0362962794	0.0449100656	0.1231437316	0.4978702408	0.0866025902	0.2111770264
a	0.052480588714	0.03120452112	0.06883708766	0.414126462	0.3149070988	0.11844416456
r	0.021161777546	0.0231249397	0.036046359286	0.189029362	0.426396731	0.304240812
t	0.013960485408	0.014711345346	0.02349426194	0.1104202424	0.575248396	0.2621652464
i	0.16255645946	0.02084394426	0.01997820954	0.0989842471	0.39381446675	0.303822655
</S>	0.0155808778798	0.0165325553892	0.018253608154	0.0543791998	0.3443215928	0.550932234
