 	ho	finito	di	scrivere	</S>
s	0.688414406	0.1765013179	0.0443518744624	0.0444105213282	0.0463218168539
p	0.669622866	0.153486884	0.05104830816	0.0672977695011	0.0585442568043
ì	0.449324188	0.2406652174	0.07998861084	0.0955594030499	0.134462524123
c	0.287188332	0.55845092	0.0560156031	0.0466403973734	0.0517048230004
c	0.222398108	0.614813396	0.074996961	0.0383436031	0.0494479941193
e	0.4494353926	0.270748096	0.145596960461	0.0576585178418	0.076560977468
t	0.1285198508	0.33618841	0.3627650972	0.047228085432	0.125298681868
s	0.1620509842	0.414570044	0.292167786	0.06103704094	0.07017416796
a	0.193360316	0.268146018	0.3376721204	0.072385279772	0.12843632664
à	0.04096961152	0.0659879404	0.5923992784	0.1710388276	0.129604445
t	0.02292023018	0.07898879248	0.5827950408	0.1865413874	0.1287545522
s	0.01768335932	0.126293062	0.449136596	0.209271396	0.1976155
e	0.15587057754	0.0621318116	0.262740476	0.1819871708	0.3372700908
g	0.010553720664	0.01742170742	0.09720605182	0.456496318	0.418322122
r	0.010585320666	0.02066860108	0.1383680348	0.56895472	0.26142345
à	0.01491113202	0.0169291374	0.0734997928	0.688245998	0.20641392138
t	0.01323638296	0.0139631869	0.0495619944	0.601412384	0.321825982
s	0.0062307735	0.00924806718	0.0600732802	0.529503124	0.39494489
i	0.05265115164	0.0184792538	0.078681621	0.43307317	0.4171147788
</S>	0.0120934458	0.0477554656	0.07040084	0.328241561	0.541508688
