 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	0.03085728	0.027312776	0.02588006	0.05101274	0.09093739	0.11069786	0.1453902	0.07809451	0.15277748	0.18878692	0.09825271
a31	0.09584734	0.08489087	0.044217285	0.098608434	0.105575904	0.10309035	0.10079263	0.093666434	0.10653038	0.105828114	0.060952235
a20	0.05963389	0.051040493	0.025186965	0.06237331	0.108241744	0.14417408	0.13598874	0.045799665	0.16926731	0.1567326	0.041561227
a13	0.06650263	0.060404174	0.03239884	0.09062274	0.121864125	0.12153191	0.10986186	0.08162526	0.13640276	0.11976006	0.05902567
a37	0.07090467	0.06527579	0.03182778	0.09727417	0.12798712	0.12952131	0.110204756	0.0628619	0.13959838	0.12991863	0.03462551
a31	0.072787926	0.066222355	0.026684994	0.09705278	0.13272718	0.13259433	0.107061744	0.05094652	0.14875959	0.13795952	0.027203098
a43	0.06791889	0.050965257	0.008675259	0.05906021	0.10649237	0.13680924	0.098398626	0.012767176	0.21394846	0.22445263	0.020511907
a31	0.073005386	0.06045407	0.015579403	0.07376689	0.1220074	0.14440413	0.11890268	0.030956514	0.17466381	0.16549814	0.02076161
a24	0.063901596	0.040231105	0.0069924654	0.042371187	0.102724925	0.10661901	0.059426587	0.00967468	0.2512373	0.3057515	0.011069653
a7	0.060612842	0.0365282	0.007264023	0.03928595	0.106016934	0.115852624	0.06761637	0.010200728	0.26946083	0.27550748	0.011653966
a31	0.053164523	0.031157674	0.0068094367	0.035770427	0.117360115	0.12783113	0.07193981	0.010587925	0.2611186	0.27013588	0.014124485
a13	0.045578063	0.023896584	0.007062933	0.026218522	0.08757726	0.07794946	0.039602607	0.010511675	0.26355642	0.40446457	0.013581907
a28	0.03760164	0.021582695	0.008141586	0.023218747	0.08138865	0.07416432	0.041488588	0.01083361	0.30872455	0.3767969	0.016058683
a20	0.034386273	0.020390945	0.007687857	0.022132134	0.08506144	0.08022523	0.046834163	0.010604356	0.30094922	0.36996645	0.021761896
a31	0.035341803	0.020726513	0.0069456594	0.023698688	0.10091203	0.09376529	0.0532746	0.010950619	0.2865253	0.34504554	0.022813894
a37	0.027351001	0.017769909	0.011502985	0.020028166	0.057211272	0.045389026	0.03171342	0.0167382	0.24336231	0.50186205	0.027071709
a1	0.036143433	0.027446998	0.019940188	0.030160941	0.06364118	0.055804927	0.040498428	0.022920378	0.25153443	0.41634575	0.035563346
a28	0.032266032	0.025857536	0.020383446	0.028331555	0.048632238	0.054251786	0.054738488	0.025820585	0.22699936	0.42182577	0.060893238
a1	0.029307248	0.022688525	0.017258031	0.024971452	0.052049313	0.06719372	0.06237253	0.022104397	0.23823836	0.393321	0.070495375
a28	0.029350808	0.023123017	0.017154463	0.026328817	0.049746595	0.06769355	0.076492615	0.025882795	0.23906487	0.37342644	0.071736045
a31	0.02816533	0.022536734	0.018110078	0.025369795	0.048610892	0.06846074	0.073875874	0.026436524	0.22488752	0.38252252	0.08102399
a20	0.034173332	0.032126274	0.03598086	0.041715886	0.052878287	0.05686427	0.07258315	0.057261158	0.18131827	0.35537568	0.07972287
a31	0.040729184	0.039467882	0.040578928	0.04394224	0.05114014	0.055031296	0.07170418	0.057493716	0.14413936	0.35761458	0.09815855
a20	0.046203967	0.044786774	0.049827486	0.056015313	0.06629263	0.06599461	0.08577195	0.07857488	0.12952413	0.27810016	0.098908134
a31	0.057213724	0.056926224	0.06057625	0.06442461	0.06876809	0.06972074	0.09433805	0.088466994	0.10308696	0.20947775	0.12700067
a8	0.055225972	0.054720603	0.061705917	0.067830265	0.0751218	0.07553481	0.10145528	0.096608505	0.112859316	0.17818601	0.12075149
</S>	0.057277218	0.05701521	0.064008	0.06961183	0.07487323	0.076427855	0.10421942	0.09941944	0.10567204	0.16478477	0.12669095
