 	sta	e	dorme	nel	letto	</S>
a33	0.08227999	0.18923949	0.25193775	0.26463342	0.119353846	0.09255556
a31	0.13419706	0.1932571	0.23383708	0.23397157	0.1725776	0.032159533
a37	0.09253512	0.21882872	0.34248564	0.24786076	0.0825953	0.01569452
a31	0.12417666	0.24480678	0.2953835	0.21563289	0.09160294	0.028397147
a13	0.13567244	0.22847594	0.30037352	0.23574097	0.08887673	0.010860457
a20	0.12622231	0.2194348	0.30809626	0.25007084	0.08718911	0.008986666
a24	0.09679036	0.21481405	0.3348901	0.27123564	0.07283273	0.00943711
a28	0.071205415	0.20082659	0.38759795	0.2775197	0.053479698	0.009370713
a31	0.039562672	0.16150795	0.42998132	0.30698162	0.04592321	0.016043235
a35	0.02883789	0.12063353	0.49491113	0.26968482	0.058073115	0.02785952
a18	0.04748007	0.1511381	0.4720176	0.24001889	0.057604823	0.031740658
a31	0.035815764	0.11719085	0.44131228	0.29299012	0.066081345	0.046609566
a13	0.045548797	0.10493305	0.38242707	0.24449453	0.13947327	0.08312324
a39	0.055615105	0.12682796	0.32978505	0.26909047	0.12153747	0.097144015
a31	0.0513817	0.10735764	0.32569417	0.25882345	0.15173475	0.10500826
a21	0.08216749	0.13715641	0.22596711	0.19032057	0.22136238	0.14302605
a31	0.07737335	0.11313658	0.2031675	0.20888734	0.23117769	0.16625747
</S>	0.101161666	0.14792745	0.18234393	0.17753132	0.226114	0.16492164
