 	vuole	andare	a	Lecce	</S>
a20	0.2619192	0.0320106	0.17922331	0.43725348	0.08959344
a31	0.27841792	0.08759229	0.20547055	0.30384868	0.124670565
a18	0.36274365	0.012329902	0.10869465	0.48772892	0.028502848
a46	0.37008086	0.018297901	0.1338262	0.4254702	0.05232482
a37	0.3843005	0.010104021	0.080432676	0.49850157	0.026661264
a23	0.3795266	0.009688485	0.07389763	0.5144202	0.022467086
a18	0.20570856	0.015090751	0.07342747	0.6778319	0.027941365
a38	0.1370093	0.018905759	0.06997716	0.7429799	0.031127853
a37	0.08383036	0.029341904	0.051899623	0.80164474	0.033283338
a31	0.08253557	0.039921455	0.054134384	0.7815485	0.041860014
a20	0.10928766	0.08567968	0.08967141	0.6293034	0.08605779
</S>	0.16999784	0.1340248	0.13724357	0.42486703	0.13386668
