 	ora	che	loro	non	vengono	più	</S>
a39	0.07674099	0.07565135	0.20106556	0.22030906	0.061031986	0.24296938	0.12223165
a20	0.180335	0.15014382	0.13295017	0.21670099	0.04850791	0.2106463	0.06071581
a13	0.18316634	0.115504526	0.14355028	0.24683088	0.016631888	0.259251	0.0350651
a17	0.1830495	0.12110879	0.13744378	0.23656155	0.017090853	0.26570666	0.039038897
a39	0.1769718	0.117919914	0.12106812	0.20989591	0.019377608	0.30531204	0.049454596
a8	0.17748989	0.13151844	0.11333726	0.19301009	0.02895274	0.29655614	0.059135504
a31	0.11722721	0.07267955	0.119289	0.23657244	0.011429084	0.4003166	0.042486113
a15	0.07216208	0.030454056	0.11209387	0.33130574	0.00977902	0.41164088	0.03256428
a38	0.117741905	0.06937964	0.13762924	0.28395972	0.008598127	0.35003796	0.03265342
a31	0.084597245	0.039460603	0.12117582	0.3235254	0.0071047195	0.39463738	0.029498873
a13	0.042931568	0.016752513	0.076952025	0.45319453	0.014538258	0.36475703	0.030874087
a20	0.0625985	0.027558723	0.10862128	0.40429458	0.008440993	0.35897073	0.029515266
a7	0.05724279	0.023146857	0.10169155	0.40686822	0.01010142	0.3659229	0.035026282
a11	0.06586753	0.023941072	0.10362474	0.38248053	0.008431254	0.38473302	0.030921899
a24	0.074699655	0.02379699	0.095289215	0.37248904	0.008646434	0.39754704	0.027531572
a15	0.071874864	0.02378901	0.09426856	0.36323592	0.0066054296	0.41639724	0.023828886
a24	0.061276525	0.023529837	0.09243079	0.41160437	0.011179748	0.36634	0.033638697
a31	0.06286752	0.020235777	0.093611725	0.40790913	0.010324503	0.3715484	0.033502895
a0	0.03626161	0.03299199	0.11189037	0.42877376	0.04661299	0.27653548	0.066933714
a18	0.04391187	0.028624484	0.093065985	0.38198015	0.04458687	0.33739322	0.07043738
a31	0.036733784	0.028036315	0.111821435	0.42374918	0.043385323	0.2763447	0.07992925
a38	0.055157553	0.07011841	0.1341959	0.23264748	0.08684041	0.32075092	0.100289226
a31	0.055080906	0.064862244	0.11993575	0.20559588	0.100742586	0.33895367	0.11482895
a20	0.0741976	0.0988529	0.13596073	0.16547959	0.11350389	0.29095525	0.12105004
a31	0.07188335	0.10019747	0.13241796	0.15428314	0.12711899	0.28094456	0.13315453
a35	0.092786334	0.11317493	0.13626128	0.14963606	0.12053266	0.26238236	0.12522641
a31	0.08776899	0.116006576	0.13678649	0.1457045	0.12957585	0.2507937	0.1333639
a18	0.10320286	0.11954951	0.13553277	0.1431453	0.12447022	0.24638379	0.12771548
a31	0.10138524	0.12559818	0.13745897	0.14104876	0.13429813	0.22393465	0.13627605
a46	0.11405617	0.12732866	0.1358921	0.1406704	0.13090962	0.2187261	0.13241702
a39	0.11407445	0.1285323	0.13681212	0.1391503	0.13249841	0.2148711	0.13406122
a31	0.11125912	0.12590578	0.1365877	0.13881063	0.12996753	0.22529167	0.13217756
</S>	0.12041651	0.12830515	0.13560905	0.13831604	0.13020168	0.21544823	0.1317034
