 	ancora	non	mi	sono	vestito	</S>
a8	0.18757701	0.1726743	0.28752223	0.06286411	0.17295302	0.116409376
a31	0.2911152	0.28260627	0.31484014	0.0055268067	0.086672835	0.019238813
a10	0.3369474	0.26435757	0.2949645	0.009250314	0.07949614	0.014984058
a31	0.34979737	0.26726392	0.2762111	0.006667305	0.08349612	0.0165642
a18	0.3700299	0.27908626	0.27469167	0.009209727	0.05367603	0.013306404
a31	0.36664906	0.2914568	0.28845668	0.0072425446	0.0359024	0.01029246
a20	0.366167	0.28139302	0.285182	0.010100105	0.04311541	0.014042413
a31	0.37796426	0.26399916	0.2859524	0.0137743885	0.0419049	0.016404858
a13	0.37059563	0.24706537	0.27660516	0.020105388	0.05850548	0.027122919
a35	0.35017136	0.23178627	0.26863828	0.03289099	0.077791266	0.03872178
a39	0.25951257	0.19878864	0.26505417	0.06692773	0.123867355	0.085849516
a46	0.2861871	0.1731943	0.286078	0.07103725	0.10040978	0.083093554
a31	0.2074934	0.15037285	0.299003	0.10617793	0.12582037	0.111132376
a20	0.12482048	0.11353062	0.20268603	0.18400586	0.18858922	0.18636774
a31	0.15369967	0.11272494	0.18472852	0.1760111	0.18897931	0.1838564
a39	0.10657723	0.1292724	0.1901201	0.19069566	0.19192466	0.19140998
a31	0.10936723	0.10593845	0.16990818	0.20163913	0.20743452	0.20571248
</S>	0.1060949	0.14098454	0.18519327	0.18892312	0.18950401	0.18930022
