 	qualcuno	al	telefono	vuole	sapere	dell	Anna	</S>
a23	0.09590105	0.04042479	0.034043074	0.11172696	0.206875	0.2032298	0.22133231	0.08646703
a31	0.18644094	0.122392364	0.07692874	0.12571345	0.1309161	0.13126843	0.17219025	0.05414975
a29	0.2589483	0.063488826	0.029619895	0.076379284	0.17473587	0.17457606	0.20155953	0.020692222
a46	0.24914978	0.08006528	0.044127055	0.12616394	0.15176807	0.14954515	0.15488712	0.044293612
a11	0.26820603	0.0763009	0.03310169	0.10673934	0.16291106	0.16007178	0.16887985	0.02378935
a20	0.2552596	0.088887565	0.044592377	0.12650853	0.15500054	0.15139219	0.15398204	0.024377137
a8	0.2405496	0.086543046	0.03355449	0.11685829	0.17785618	0.17218174	0.15421349	0.018243188
a31	0.37981814	0.056505848	0.016424408	0.054573927	0.12710659	0.1328323	0.21017326	0.022565518
a38	0.38542277	0.04326678	0.008537179	0.03301569	0.13238327	0.13544153	0.24163887	0.020293847
a31	0.3910043	0.062497776	0.015759837	0.05315305	0.12665513	0.13108973	0.20129144	0.01854875
a24	0.40121585	0.03337399	0.010675812	0.01992421	0.1340802	0.14370227	0.23633756	0.020690175
a37	0.42839333	0.044484988	0.01073333	0.02629365	0.13469893	0.13786091	0.20157117	0.015963791
a15	0.4476846	0.039267395	0.011434343	0.028802065	0.1253254	0.12717484	0.19571067	0.024600765
a31	0.42238957	0.043441866	0.013655866	0.0383971	0.12596269	0.1278742	0.20115145	0.027127324
a20	0.32559088	0.025459576	0.015236296	0.0226189	0.15512304	0.16681743	0.2461699	0.042984013
a31	0.36064878	0.036095586	0.016166996	0.02665042	0.15014826	0.16082105	0.2186895	0.030779388
a37	0.21477291	0.030357325	0.023094492	0.029647222	0.17135492	0.21474494	0.26722914	0.048799053
a46	0.1924806	0.037454374	0.03146859	0.036059473	0.16798896	0.23591655	0.2448827	0.05374882
a20	0.13943294	0.03218979	0.025512006	0.03486117	0.19808663	0.22812487	0.27882162	0.062970944
a24	0.13439338	0.033169083	0.027458152	0.034897964	0.19518809	0.22876172	0.27779654	0.068335146
a31	0.114949875	0.034594275	0.032456968	0.04012536	0.19016309	0.252012	0.26338184	0.07231661
a17	0.06863349	0.032135848	0.034772314	0.051604472	0.20423882	0.28448346	0.25237697	0.071754664
a20	0.06811921	0.042126134	0.045793816	0.06598574	0.18366416	0.27643123	0.22558567	0.09229399
a38	0.06349791	0.042352058	0.048217822	0.07014852	0.18567307	0.2777166	0.22166352	0.090730526
a31	0.056372985	0.041532964	0.048848595	0.06956415	0.19085112	0.28264022	0.22437146	0.08581846
a17	0.056670357	0.053073227	0.06484744	0.084430024	0.1740107	0.27163312	0.20087643	0.09445867
a31	0.062171094	0.06502908	0.07997134	0.101292744	0.16213553	0.23866351	0.17995676	0.11078002
a37	0.06499929	0.0695951	0.08525487	0.10665423	0.15325473	0.23836161	0.16771767	0.114162475
</S>	0.07354887	0.08198909	0.100850224	0.125306	0.14655975	0.18613166	0.15215607	0.13345844
