 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.08214306	0.05445493	0.086389475	0.15468815	0.19216204	0.14816427	0.20325205	0.078746006
a27	0.13597342	0.08519714	0.15179473	0.1789712	0.18262936	0.13840696	0.1138071	0.013220091
a8	0.16973218	0.07865546	0.13574569	0.16986045	0.17130359	0.13635224	0.12576626	0.012584158
a28	0.16159467	0.093509905	0.11725331	0.20437403	0.2481674	0.08430162	0.080146134	0.010652997
a31	0.18128625	0.08571457	0.11429441	0.21830794	0.24839449	0.07272495	0.0686363	0.010641126
a24	0.20069043	0.10244538	0.10023797	0.19102527	0.3031025	0.028576605	0.06013934	0.013782517
a31	0.19761716	0.09072445	0.11241358	0.22115147	0.2765855	0.042028353	0.05008706	0.009392496
a10	0.23887216	0.12357498	0.10167412	0.1734839	0.25121117	0.029446313	0.061094932	0.02064237
a20	0.2208412	0.11561034	0.10138074	0.18436918	0.27748033	0.02966493	0.054392964	0.016260292
a31	0.19833575	0.104928695	0.09615972	0.18287839	0.2817336	0.031638935	0.081250675	0.0230742
a39	0.18899725	0.13683252	0.10329979	0.13597865	0.19331372	0.058625445	0.115716025	0.067236565
a31	0.1850708	0.1472107	0.1150818	0.1528434	0.21928522	0.045621492	0.09189247	0.04299409
a18	0.13341385	0.14857921	0.109896876	0.11169181	0.13606337	0.09100638	0.14931862	0.12002989
a31	0.15646203	0.17316109	0.11548551	0.12079913	0.14766662	0.07265955	0.12436268	0.089403436
a17	0.10327955	0.14112842	0.10548881	0.09999888	0.11078797	0.11652797	0.16902508	0.15376331
a31	0.11261421	0.14424853	0.10405581	0.102755025	0.1100744	0.10388165	0.17455025	0.14782013
a8	0.089555696	0.12254456	0.10408239	0.097796544	0.10378301	0.13297172	0.17905103	0.17021501
</S>	0.09093472	0.10988654	0.1026958	0.09753586	0.10272111	0.13491885	0.18535247	0.1759547
