 	mi	sono	vestito	</S>
a39	0.46647754	0.11217863	0.2873924	0.13395143
a11	0.64276534	0.0115977535	0.31530866	0.03032821
a13	0.73586684	0.011959381	0.22416694	0.02800688
a18	0.75455004	0.012449226	0.20304382	0.029956946
a31	0.81846976	0.015011609	0.13178028	0.03473831
a37	0.8447028	0.03678735	0.066436626	0.052073304
a15	0.85155857	0.031326737	0.0683555	0.048759278
a31	0.724212	0.07942839	0.10476578	0.091593824
a46	0.34644926	0.21474253	0.22018392	0.2186243
a31	0.3020346	0.22654212	0.23712508	0.23429815
a20	0.24891737	0.24983975	0.2506687	0.25057417
a31	0.24625203	0.24940486	0.2524158	0.25192732
</S>	0.25135747	0.24944063	0.24960479	0.24959712
