 	quando	venne	arrivò	Giovanni	Anna	ancora	aveva	di	cucinare	</S>
a23	0.034085266	0.08027339	0.082252815	0.09817547	0.09859655	0.11133714	0.11870973	0.1272712	0.13213745	0.117161
a31	0.06638161	0.08549518	0.08163653	0.11726023	0.094376944	0.11497828	0.116534	0.1086749	0.122043185	0.092619084
a10	0.019715497	0.112230815	0.07305683	0.10215152	0.10655235	0.12979832	0.12632853	0.12355705	0.14437807	0.062231068
a41	0.041188486	0.11990128	0.09470371	0.1137311	0.101061955	0.11415239	0.110889986	0.10803709	0.12610221	0.070231795
a24	0.04039611	0.12693337	0.10513153	0.11574803	0.099394456	0.11539556	0.10544419	0.10334014	0.13726512	0.050951537
a46	0.05573606	0.110949494	0.09466223	0.110186666	0.10256279	0.11001273	0.108952	0.10809467	0.11722575	0.0816176
a24	0.037046265	0.10108129	0.08605455	0.12013746	0.10238185	0.12054232	0.118379995	0.1159483	0.13257639	0.06585156
a37	0.045594294	0.094945125	0.0835839	0.1210771	0.09840375	0.120008014	0.11914087	0.116394095	0.13816227	0.062690526
a46	0.04823088	0.10322914	0.08548927	0.1160987	0.09748284	0.115536295	0.11447702	0.114011385	0.13606735	0.0693772
a31	0.02539884	0.09633596	0.06771747	0.12667257	0.08398562	0.12708354	0.1178632	0.11750358	0.17364733	0.06379191
a20	0.00780209	0.093970895	0.045191213	0.12578449	0.056271262	0.12406609	0.08941382	0.08920977	0.32432672	0.043963637
a8	0.017756855	0.099727	0.05973691	0.13450183	0.07375583	0.13623069	0.11828781	0.11038048	0.20642658	0.043195892
a31	0.016860142	0.09501181	0.054041184	0.123831116	0.064539716	0.12579359	0.10031872	0.09383446	0.28329727	0.042471886
a10	0.00668699	0.081957765	0.029999183	0.08970785	0.048148554	0.11442794	0.072964124	0.0761656	0.43666095	0.04328101
a31	0.008970455	0.10251632	0.04673012	0.11088536	0.06572183	0.1334129	0.099237576	0.08883815	0.31215626	0.031531077
a10	0.007807483	0.06084334	0.021853881	0.06382894	0.034749996	0.107482426	0.06848864	0.07784402	0.5153067	0.04179458
a11	0.010470205	0.06740058	0.024073452	0.066116884	0.03953104	0.10995398	0.06725062	0.07853905	0.49569237	0.04097176
a37	0.00840488	0.07370816	0.024191607	0.06880086	0.04215624	0.10154153	0.0626597	0.07335459	0.49652228	0.04866017
a31	0.0070301713	0.08508382	0.027626269	0.07981234	0.043162264	0.09767428	0.061515298	0.07139248	0.48019692	0.04650614
a20	0.008279075	0.045224138	0.019081492	0.050157525	0.030161798	0.081024095	0.059879724	0.07983201	0.57501745	0.051342707
a41	0.01739764	0.043191373	0.024513228	0.044879362	0.03454815	0.07610978	0.060396507	0.093894534	0.5295217	0.07554767
a11	0.013283379	0.045387898	0.023580847	0.044675574	0.03951946	0.08599267	0.070018806	0.09920309	0.50322086	0.07511743
a27	0.012064056	0.05322145	0.025749847	0.05016441	0.045076538	0.091049895	0.07317027	0.09645145	0.48038682	0.07266525
a0	0.011087792	0.057547327	0.028835418	0.05435722	0.049179822	0.09771447	0.07661719	0.094297476	0.46430779	0.06605551
a20	0.011502946	0.061493948	0.030677939	0.057571314	0.053431835	0.10111058	0.07968446	0.09720936	0.4390485	0.068269104
a31	0.011961183	0.06259111	0.03158856	0.058462486	0.054427426	0.1006627	0.08026644	0.09833279	0.4304789	0.0712284
a17	0.02176944	0.047015555	0.03521665	0.052993458	0.0499801	0.098874055	0.09549566	0.14408606	0.35815054	0.096418396
a20	0.033118267	0.05339826	0.04816754	0.055722	0.058312513	0.09079106	0.10010723	0.15463404	0.29257348	0.11317557
a37	0.033245407	0.06014804	0.05132349	0.056904618	0.060873587	0.096608736	0.10199907	0.14929733	0.28171426	0.10788549
a31	0.034993358	0.06637044	0.0550767	0.057159446	0.06351763	0.09995311	0.103503376	0.14453948	0.26911047	0.10577598
a0	0.041686747	0.059934545	0.0578912	0.067231506	0.06438249	0.08251768	0.08531031	0.15229438	0.29713798	0.09161313
a17	0.053842068	0.071909755	0.07217277	0.07673826	0.07703117	0.087710924	0.09311348	0.14577599	0.2208832	0.10082236
a28	0.05462718	0.07021845	0.06520359	0.06660664	0.07132441	0.09283367	0.10024387	0.14607286	0.22541419	0.107455134
a31	0.054107685	0.066992365	0.062272105	0.064045794	0.07104309	0.09723113	0.104632	0.14624715	0.22307727	0.110351376
a20	0.05910282	0.07082788	0.07200302	0.07673253	0.075773165	0.08377016	0.08612382	0.13663875	0.24862766	0.09040023
a28	0.06739745	0.079330616	0.08078505	0.08339035	0.08380928	0.08955257	0.09268689	0.13533086	0.19067566	0.09704133
a15	0.06815291	0.07519396	0.0733321	0.0740467	0.07636924	0.0884507	0.094160326	0.14342946	0.20594895	0.100915655
</S>	0.05862241	0.06656277	0.0649433	0.06676203	0.07322256	0.09692413	0.1052745	0.14569105	0.20994149	0.1120558
