 	non	deve	magniare	la	sera	</S>
a20	0.23634532	0.04056473	0.10910656	0.32970947	0.21273504	0.07153896
a31	0.27895048	0.01615929	0.11788094	0.2698266	0.26692575	0.050256986
a18	0.34767255	0.011681902	0.028095596	0.40402687	0.19427763	0.014245408
a37	0.34378394	0.009623128	0.035081465	0.41211566	0.18488467	0.0145111345
a18	0.42902288	0.01502504	0.017593602	0.37519553	0.14277267	0.020390296
a31	0.54532117	0.023917032	0.022860957	0.2687018	0.106939815	0.032259263
a13	0.4505552	0.0731676	0.08497703	0.15573633	0.15624827	0.07931557
a31	0.36392155	0.092507325	0.09819173	0.17636305	0.17198926	0.09702708
a17	0.17761782	0.158557	0.15969612	0.16527419	0.17978373	0.15907122
</S>	0.17325675	0.16179286	0.1603591	0.17085831	0.17140475	0.16232823
