 	quando	Giovanni	è	arrivato	è	arrivato	alla	casa	o	a	casa	ancora	e	cucina	</S>
a39	0.03421539	0.060891513	0.0352896	0.023494076	0.03775816	0.023558902	0.042000998	0.027542839	0.05760313	0.08229714	0.068791844	0.090179384	0.120239876	0.16212262	0.13401453
a31	0.03761522	0.09158301	0.0055050794	0.0028785416	0.018141607	0.011471397	0.116796404	0.081373066	0.07712269	0.118410535	0.08093774	0.10981596	0.11630707	0.076152936	0.055888645
a8	0.02050276	0.06299412	0.0042601447	0.0038481867	0.0061042337	0.0069075543	0.0787446	0.053522352	0.060119618	0.1550463	0.064027004	0.17404714	0.20568131	0.057720996	0.04647366
a31	0.016168408	0.056028873	0.003400978	0.0029622072	0.0053353556	0.0050049894	0.0722204	0.04538812	0.06476478	0.16626912	0.06990727	0.17260386	0.1926595	0.07938805	0.047898132
a20	0.0199967	0.06627642	0.0043817647	0.0038289856	0.005806091	0.0060675475	0.07904623	0.058692772	0.06726404	0.14943185	0.073995404	0.16318761	0.18973333	0.058816373	0.053474825
a31	0.022492968	0.06604485	0.0032080477	0.0024466263	0.00615733	0.0059450488	0.09580865	0.059247572	0.07718749	0.14786227	0.082887426	0.1475852	0.15286043	0.08253338	0.047732722
a13	0.017398844	0.07067723	0.0046128086	0.0034139473	0.0052395323	0.0052550607	0.08602481	0.059778523	0.0762684	0.13787362	0.081227705	0.15269941	0.1747971	0.066700846	0.058032095
a18	0.024419537	0.06964248	0.0032569026	0.0023158996	0.0057950593	0.005352654	0.09913663	0.06292251	0.07654163	0.14658928	0.081719	0.14397329	0.14971872	0.08227138	0.046345074
a31	0.029734567	0.06958015	0.003716285	0.0022091868	0.008109571	0.00630328	0.10917922	0.069796935	0.081510544	0.13306753	0.08789316	0.13091417	0.13442759	0.08527313	0.04828464
a20	0.012543391	0.06862015	0.005791218	0.0037774344	0.004507103	0.004469268	0.0960609	0.05526154	0.07660831	0.14704491	0.073066175	0.15806243	0.18258308	0.055412777	0.056191258
a39	0.018838516	0.06956383	0.0035786238	0.002508656	0.0043507544	0.0040316675	0.09567823	0.056790326	0.07182704	0.15758349	0.07373086	0.15316115	0.16579567	0.07929272	0.04326849
a13	0.024428086	0.07154994	0.00341349	0.002246789	0.0054796273	0.0047571803	0.1106899	0.063931555	0.07885451	0.14586067	0.08202631	0.1390908	0.14652742	0.079231165	0.041912507
a31	0.025483184	0.07381983	0.0039759395	0.002172297	0.0062308726	0.004842794	0.1171152	0.06899928	0.08103522	0.13684803	0.08484644	0.13203314	0.13779114	0.081025705	0.04378088
a18	0.00975025	0.062024027	0.007103814	0.0043055005	0.004423824	0.004275441	0.099568255	0.04513413	0.07225069	0.15714824	0.061819244	0.16351224	0.19519223	0.052544672	0.060947396
