 	la	mia	mia	mamma	mio	padre	mia	mamma	e	mio	padre	eh	non	sono	stati	mai	in	Grecia	</S>
a31	0.024212023	0.03223224	0.052849695	0.09294229	0.06706387	0.04613308	0.06050266	0.05121128	0.045420136	0.04512853	0.045649234	0.054667577	0.050128326	0.04677447	0.05286977	0.043636017	0.045662466	0.08117852	0.061737746
a37	0.029765574	0.01960492	0.014992574	0.042948008	0.066896655	0.07146923	0.042604674	0.044552445	0.055422794	0.06531638	0.070783615	0.062662825	0.07131479	0.04961768	0.057365127	0.0712231	0.07056546	0.071932055	0.020962082
a8	0.030994652	0.022413645	0.021399928	0.048270505	0.0739407	0.07682108	0.033129577	0.048431445	0.0652541	0.07393662	0.08210811	0.0759217	0.060454994	0.0397021	0.072767444	0.051008914	0.0510874	0.055152923	0.017204205
a31	0.021150954	0.009845282	0.00600162	0.045500826	0.06857587	0.07683612	0.03685115	0.050315905	0.05812331	0.07080908	0.08788569	0.07204622	0.070913464	0.04463095	0.067645825	0.067640595	0.065064386	0.070170015	0.009992657
a39	0.016835628	0.007631919	0.0035860776	0.044533122	0.061613712	0.07277959	0.037119932	0.052458502	0.059860416	0.07218198	0.087348245	0.071758606	0.07902627	0.04643702	0.066928096	0.07003818	0.06386624	0.07679445	0.009202079
a3	0.034936186	0.025734087	0.018371537	0.045118865	0.06805664	0.07266209	0.03823201	0.045441926	0.055725206	0.06650667	0.080160365	0.06803595	0.064979136	0.04476675	0.064265355	0.063617006	0.0637342	0.06459156	0.015064522
a8	0.040118415	0.030736383	0.023601979	0.04488782	0.0671245	0.07161922	0.037443526	0.04476984	0.054725263	0.06542506	0.07932133	0.06725912	0.06294341	0.043471843	0.06362637	0.061458223	0.061666355	0.0623972	0.01740415
a31	0.022404363	0.010345147	0.005958891	0.043599445	0.065983236	0.07847933	0.038670145	0.050507672	0.05531052	0.06584568	0.08071076	0.06458555	0.07575267	0.046088867	0.060715497	0.07477502	0.07378081	0.077328704	0.009157781
a7	0.010719536	0.003276119	0.002140344	0.032035373	0.04931145	0.07863807	0.024853805	0.05850784	0.06487992	0.073599815	0.0924394	0.0760777	0.092269026	0.035420313	0.07394249	0.068537705	0.06984253	0.0870595	0.0064489897
a27	0.032054286	0.019815478	0.012391604	0.04365202	0.06673991	0.07498065	0.042135265	0.046679746	0.053240955	0.06356493	0.07325248	0.060924742	0.07286614	0.047644112	0.056125335	0.07343661	0.073619306	0.07444131	0.012435128
a31	0.039740562	0.027046679	0.014268276	0.044681244	0.06509066	0.07509273	0.040939044	0.0468563	0.05145427	0.06127147	0.074169464	0.05969667	0.07058704	0.045180187	0.055866063	0.071180776	0.07200473	0.07246145	0.0124123655
