 	ho	cosa	a	fare	</S>
a23	0.20718667	0.23135167	0.29538104	0.19769011	0.068390444
a17	0.24700375	0.21407104	0.27121747	0.2285181	0.039189626
a31	0.2698746	0.24559134	0.25649837	0.20877317	0.019262532
a8	0.3278561	0.21799563	0.3538079	0.09027103	0.010069361
a31	0.43320116	0.16626452	0.29893947	0.083303235	0.018291542
a13	0.37386134	0.124859475	0.36791223	0.08949453	0.04387238
a24	0.40013444	0.1356134	0.3400616	0.09192019	0.032270364
a31	0.32000288	0.0991973	0.42259526	0.1038477	0.054356877
a13	0.16798536	0.11879896	0.3816374	0.17915057	0.15242773
a31	0.15170893	0.11658949	0.34337705	0.20111944	0.18720508
a18	0.13489069	0.1631031	0.2630425	0.22145294	0.21751074
a0	0.12739529	0.16057934	0.24612415	0.23385325	0.23204803
a39	0.15734556	0.19273825	0.22591312	0.21251439	0.21148868
</S>	0.17854248	0.19756752	0.21790127	0.20384	0.20214874
