 	pure	che	ti	vedo	una	volta	non	ti	dimentico	mai	</S>
a31	0.04108735	0.06152484	0.09854484	0.13021152	0.10551314	0.09303476	0.09487394	0.107975505	0.1343117	0.076811075	0.056111317
a10	0.060609657	0.069833934	0.09896093	0.1384136	0.108777195	0.1042596	0.1076017	0.11260587	0.10997577	0.06631307	0.022648724
a31	0.06174178	0.070967205	0.10836364	0.13175051	0.10671828	0.09023795	0.111117646	0.12548555	0.10725688	0.061622936	0.024737628
a10	0.04097778	0.038197666	0.122264005	0.15278533	0.12109343	0.09737204	0.11684134	0.14716455	0.13186435	0.023898965	0.0075405603
a28	0.05007641	0.0544758	0.11482819	0.1408058	0.115057446	0.09631899	0.11901877	0.13444981	0.116458796	0.042941812	0.015568129
a10	0.05817367	0.06512042	0.11077835	0.13623168	0.11153326	0.09314889	0.1157312	0.12996115	0.11257236	0.0517181	0.01503091
a21	0.07047609	0.07306536	0.10802852	0.12907185	0.10825747	0.09109811	0.11212981	0.12403872	0.1089925	0.058285512	0.016556025
a38	0.07654545	0.07506888	0.104884095	0.13059664	0.10374053	0.08751431	0.10818636	0.12346389	0.10431421	0.065280564	0.020405052
a41	0.07714634	0.07548971	0.10087072	0.14069563	0.10044578	0.08694711	0.10492162	0.12633842	0.10121117	0.06619755	0.019735932
a31	0.07972581	0.07544401	0.09903616	0.14475532	0.10032138	0.08753308	0.10435893	0.127001	0.101280116	0.06436741	0.016176842
a18	0.0403264	0.023891458	0.1035069	0.18705437	0.1166628	0.07537859	0.12908198	0.16256073	0.13814144	0.015590759	0.0078046224
a31	0.05716593	0.04838042	0.10165507	0.17191967	0.10993885	0.09151077	0.1147591	0.14166039	0.11498948	0.03813461	0.009885703
a21	0.027697897	0.011313153	0.10518875	0.19840369	0.11243345	0.061067898	0.12743114	0.18116699	0.16387515	0.007415098	0.0040068165
a31	0.033852514	0.016980555	0.10175354	0.1992396	0.11519965	0.07447013	0.12628695	0.17286193	0.14281885	0.011658734	0.0048775813
a18	0.024953226	0.009030911	0.08114566	0.25798193	0.08844066	0.042941734	0.12008991	0.1987806	0.16746801	0.0058821104	0.0032852313
a17	0.02071723	0.0086588785	0.068790615	0.27427292	0.08210309	0.03702008	0.10873954	0.21603209	0.17465934	0.005899815	0.0031064316
a20	0.016405877	0.0069630984	0.06508549	0.2647399	0.07747173	0.031888176	0.111593425	0.21548836	0.20127401	0.0057058167	0.003384115
a3	0.021151442	0.009151145	0.07865331	0.23214243	0.096757874	0.044047426	0.1325868	0.19377759	0.17969708	0.007256573	0.0047783176
a35	0.02427687	0.010463457	0.0827822	0.214988	0.10406524	0.0473087	0.13942245	0.18280758	0.17990884	0.00814503	0.0058316183
a37	0.024259824	0.012968835	0.07166876	0.23748156	0.08997438	0.041437387	0.13025473	0.18925247	0.18399352	0.011484296	0.0072242045
a38	0.02409062	0.012192258	0.07123407	0.25761205	0.08853676	0.037947394	0.12235128	0.17959438	0.18705405	0.011627106	0.00775998
a31	0.018867543	0.011430945	0.054493453	0.3030776	0.06464869	0.033068307	0.09920497	0.18070975	0.21293446	0.012106028	0.00945823
a37	0.008469139	0.008994846	0.030202279	0.36219478	0.029860338	0.016500344	0.03935967	0.19187413	0.28302723	0.015332873	0.014184398
a21	0.010584195	0.008785861	0.047529295	0.32045934	0.04063617	0.02519652	0.06887932	0.20665894	0.24798866	0.011626203	0.011655475
a31	0.010540922	0.011665136	0.051059786	0.2767815	0.04596974	0.028914584	0.07672614	0.20122114	0.2575028	0.016240375	0.023377862
a29	0.01956247	0.025601268	0.04921098	0.3048637	0.052408576	0.029925369	0.03936346	0.156559	0.25898755	0.030785156	0.03273249
a31	0.015530332	0.016914988	0.050165787	0.2809076	0.044842593	0.030943073	0.06334694	0.20072155	0.24788219	0.022332449	0.02641253
a33	0.0344668	0.0435718	0.05258735	0.28690583	0.05656045	0.037814863	0.035138477	0.14365388	0.21170627	0.048290633	0.049303643
a20	0.025109429	0.03214779	0.05124827	0.2596742	0.051893957	0.032943174	0.05205392	0.17237289	0.23736413	0.041071784	0.044120412
a31	0.030378977	0.040918782	0.057263907	0.24202673	0.06422651	0.04107881	0.043553274	0.14675018	0.22827521	0.0501113	0.05541623
</S>	0.045702394	0.05380193	0.062473223	0.25383916	0.065300725	0.04889844	0.03817948	0.13542712	0.18136342	0.05687736	0.058136705
