 	noi	ti	amiamo	a	te	di	pocchi	giorni	e	non	ti	possiamo	dimenticare	mai	di	questo	che	trocammo	bene	a	te	</S>
a31	0.018744465	0.042351175	0.019820292	0.056374673	0.059047304	0.07883773	0.04774044	0.022132898	0.04202473	0.04201443	0.043286793	0.049338095	0.064459614	0.03533343	0.0445361	0.043525252	0.041466378	0.046391744	0.049656242	0.043223675	0.057670996	0.05202347
a11	0.0047992743	0.03550575	0.002970612	0.040794525	0.042116795	0.05572369	0.03287453	0.018855063	0.05726452	0.056046735	0.0566331	0.059596863	0.05844771	0.024176855	0.0508569	0.0620448	0.058458928	0.059579305	0.059697907	0.05929362	0.05955171	0.044710875
a23	0.007445335	0.041530438	0.0046576564	0.041035924	0.041711822	0.050085146	0.035427902	0.023582038	0.054745305	0.056424964	0.06973128	0.053799927	0.04516599	0.02659686	0.05414597	0.07635051	0.055250034	0.06252332	0.06150752	0.049639475	0.04954718	0.039095387
a46	0.0066807	0.042831372	0.0034920366	0.041933667	0.042165887	0.05057151	0.036004473	0.024935689	0.055297133	0.056889024	0.07018341	0.054421842	0.045423284	0.021216884	0.053967748	0.07688821	0.055790108	0.0632453	0.06223732	0.05011353	0.050054207	0.035656672
a8	0.0045153387	0.040080275	0.0021965688	0.04398247	0.04397157	0.054405943	0.03583593	0.021545412	0.056035057	0.05540725	0.060804263	0.05739235	0.055470277	0.017911738	0.05045207	0.07708372	0.05667562	0.058944304	0.058775567	0.056649078	0.05687918	0.03498604
a31	0.0028401	0.039164327	0.001697824	0.03963666	0.03922443	0.056974553	0.030650567	0.016356442	0.059953097	0.057611357	0.058511015	0.06408409	0.061164156	0.013558448	0.048515018	0.066072516	0.061189067	0.063746445	0.06411905	0.06281017	0.06384354	0.028277118
a20	0.0019247454	0.027937971	0.001266362	0.025698166	0.026450632	0.058695614	0.01529394	0.007471147	0.06513836	0.06257297	0.06532172	0.07282586	0.065221585	0.008016447	0.047357317	0.07496943	0.06735515	0.07252858	0.07311177	0.0706618	0.07226785	0.01791262
a31	0.005448984	0.045178372	0.0026688713	0.048468534	0.047456115	0.054029625	0.042844377	0.030481126	0.054758895	0.05344499	0.054699447	0.056580428	0.05533933	0.019801611	0.048057314	0.06283331	0.055420034	0.05674574	0.056836817	0.056077268	0.056457054	0.036371756
a39	0.00181403	0.02486537	0.0013007266	0.019981593	0.020864883	0.050834015	0.01377675	0.007405981	0.06275237	0.064325795	0.07424409	0.07159145	0.06432714	0.006802291	0.050857622	0.0924787	0.06762773	0.07348315	0.0736292	0.068816386	0.07047548	0.017745296
a10	0.0039912886	0.03867547	0.0019251687	0.044161644	0.043398805	0.05591265	0.035671286	0.021201923	0.057355605	0.055675242	0.057840046	0.0601321	0.058122583	0.015562722	0.04862041	0.07000208	0.058393117	0.06047248	0.060597844	0.05935077	0.059913628	0.033023126
a31	0.0048754876	0.042689264	0.0021411385	0.0485075	0.046571817	0.053441513	0.039642394	0.026010677	0.05453151	0.05303302	0.059827846	0.05697014	0.053895157	0.015413269	0.045707427	0.0792816	0.05550606	0.05909139	0.058914546	0.055863533	0.0562766	0.03180802
