 	devo	pulire	l	albero	</S>
a39	0.07363815	0.16261503	0.21339664	0.3933217	0.15702848
a31	0.18242455	0.19445203	0.21304527	0.2807571	0.12932105
a35	0.15960748	0.090194635	0.113574795	0.57186866	0.06475444
a31	0.15568508	0.13606681	0.22651744	0.36193702	0.11979368
a20	0.15539554	0.056592014	0.06366319	0.6863438	0.038005423
a31	0.1789639	0.084290296	0.097783245	0.58563745	0.053325072
a37	0.15799463	0.037136625	0.038024906	0.73032665	0.036517214
a1	0.17232928	0.047083918	0.04300331	0.69256234	0.045021158
a20	0.09371846	0.04674373	0.06317403	0.7171647	0.07919908
a31	0.12723283	0.057421267	0.06670643	0.6536409	0.09499861
a39	0.085259475	0.046189412	0.06732692	0.7116561	0.0895681
a10	0.10146949	0.055588022	0.058974635	0.6935181	0.09044981
a29	0.06439534	0.041888263	0.06252348	0.730518	0.100674905
a46	0.068834975	0.05193612	0.08938885	0.6757847	0.11405536
a31	0.06797929	0.073007785	0.10611465	0.633374	0.119524285
a20	0.056360565	0.072598204	0.107571155	0.6447387	0.11873137
a13	0.053989515	0.053121857	0.08384529	0.70372874	0.10531462
a20	0.04987215	0.06334235	0.097631045	0.6673973	0.121757105
a31	0.049398746	0.07312806	0.1086742	0.62508655	0.14371242
a11	0.082620375	0.11535519	0.12528671	0.54794997	0.12878774
a17	0.057057854	0.07825554	0.114257425	0.62516266	0.1252665
a20	0.06904871	0.099112555	0.11347132	0.58355063	0.13481681
</S>	0.060633186	0.09373394	0.11798598	0.572174	0.1554729
