 	ora	ho	finito	di	scrivere	</S>
a23	0.14681289	0.13025597	0.08567746	0.2737001	0.27640134	0.08715231
a31	0.20689432	0.2230112	0.10208197	0.22399284	0.2135473	0.030472383
a28	0.3594981	0.2638055	0.026996925	0.23259777	0.10718088	0.009920752
a31	0.3117287	0.2822267	0.040985778	0.21590358	0.13374537	0.01540983
a41	0.3401254	0.27437624	0.027309958	0.24434967	0.1036055	0.010233211
a21	0.33357188	0.26479495	0.020912247	0.2763623	0.09468413	0.009674491
a24	0.34982592	0.28451857	0.014879299	0.25615105	0.0821487	0.012476562
a31	0.38045967	0.3246282	0.010487708	0.20224954	0.06783163	0.014343184
a39	0.37685183	0.32389975	0.016809953	0.17019995	0.0780788	0.034159735
a31	0.38175723	0.30823466	0.020577928	0.16871151	0.08269161	0.03802704
a28	0.2590775	0.21599694	0.052830182	0.19939892	0.16557004	0.107126445
a31	0.219164	0.18254441	0.07240319	0.18698432	0.19039768	0.14850637
a20	0.14440785	0.1252653	0.091615856	0.20304695	0.25685188	0.17881219
a37	0.13900499	0.123852976	0.098936886	0.18709254	0.24633059	0.20478198
</S>	0.09829708	0.094787866	0.12958765	0.19814473	0.28297624	0.19620644
