 	le	canzone	si	scrivono	alla	notte	</S>
a20	0.0631316	0.063491106	0.064662516	0.17105019	0.27151522	0.22294873	0.14320059
a31	0.16571335	0.037683968	0.08204456	0.13564676	0.24310477	0.24227682	0.09352978
a0	0.1377829	0.036839917	0.0809036	0.07648424	0.4147158	0.21273445	0.04053918
a20	0.14285612	0.038248915	0.0735735	0.115745254	0.3386912	0.23135519	0.059529807
a31	0.1587702	0.016763749	0.051465977	0.081157885	0.38488063	0.26553354	0.041428
a13	0.16469052	0.014467223	0.039720446	0.036491413	0.46819967	0.24898034	0.027450403
a38	0.13677153	0.013456972	0.03242584	0.03435368	0.5601541	0.19946614	0.023371793
a31	0.078017436	0.010161231	0.018392755	0.024754133	0.61091596	0.22680026	0.030958258
a20	0.090421535	0.017905831	0.027512785	0.027717452	0.58530706	0.21388339	0.037251946
a31	0.08176524	0.021235814	0.030877866	0.031036537	0.6443811	0.15919548	0.031507928
a20	0.071321696	0.02984124	0.0358217	0.036876034	0.5776168	0.19559838	0.052924115
a33	0.07578856	0.03817562	0.044541135	0.04488933	0.5738868	0.16864477	0.05407382
a31	0.06656091	0.049626037	0.049637754	0.06723669	0.46994522	0.20329475	0.093698636
a28	0.062307023	0.0474774	0.04841659	0.05508022	0.49427822	0.20467559	0.087765016
a31	0.07031866	0.054711632	0.055755574	0.064143874	0.44304538	0.21237713	0.09964775
a0	0.06715634	0.06712169	0.06428097	0.080833144	0.37104794	0.22582929	0.1237306
a31	0.07581556	0.07404771	0.07188906	0.086534776	0.32360253	0.23115034	0.13696003
a3	0.06843025	0.084212944	0.076408595	0.10464625	0.300424	0.22320297	0.14267492
a31	0.07675658	0.092431806	0.084437974	0.11462606	0.24900302	0.22176152	0.16098313
a46	0.07186528	0.1073713	0.09429822	0.13019821	0.23488756	0.205627	0.15575239
a31	0.07830907	0.12254613	0.107368335	0.1464393	0.18515967	0.18914427	0.17103331
a39	0.07818746	0.13302617	0.118788645	0.14999577	0.1806228	0.17620142	0.16317773
a35	0.08001983	0.13750984	0.12393745	0.15271483	0.17118606	0.17091078	0.16372131
a31	0.09288659	0.14426427	0.13828546	0.1495563	0.16558099	0.1567157	0.15271065
</S>	0.09576514	0.14531942	0.13998708	0.14978366	0.16009466	0.15668853	0.15236154
