 	non	ha	da	mangiare	</S>
a31	0.23093168	0.17891157	0.13880879	0.35949835	0.091849655
a20	0.37879914	0.22540946	0.029038021	0.35116857	0.015584829
a31	0.42808583	0.22724745	0.03794094	0.2922434	0.0144824665
a41	0.50184506	0.26233825	0.020849444	0.19650035	0.01846682
a10	0.5805697	0.23610386	0.021010702	0.13886431	0.023451503
a31	0.60808504	0.1701384	0.023841465	0.1616405	0.03629466
a15	0.49897042	0.14372289	0.058606137	0.20180376	0.09689674
a31	0.31240827	0.17450415	0.09132752	0.26180518	0.15995494
a39	0.15564056	0.17178926	0.17542784	0.27082264	0.22631969
a37	0.15127283	0.1540186	0.1613702	0.27651802	0.25682032
</S>	0.12758468	0.17361437	0.22405456	0.23892453	0.23582186
