 	voglio	che	Maria	viene	domani	</S>
a33	0.13849086	0.13098796	0.14091597	0.3044571	0.1458817	0.13926631
a31	0.24324532	0.23623782	0.14821106	0.30997866	0.030938968	0.031388238
a11	0.26269493	0.24276833	0.17565183	0.25764135	0.039354652	0.021888994
a31	0.28426325	0.26943356	0.16832574	0.21710828	0.033542767	0.027326373
a18	0.29780352	0.27872375	0.16620867	0.21166183	0.030274987	0.015327239
a31	0.30861196	0.2855237	0.15684642	0.21017694	0.02523933	0.013601652
a42	0.29001677	0.28251	0.14429867	0.2285249	0.035313796	0.019335898
a37	0.27292436	0.26410028	0.114191115	0.24924615	0.061663225	0.037874855
a31	0.1849332	0.18464175	0.09798636	0.30923676	0.13053198	0.09267002
a20	0.13605201	0.1353816	0.08885497	0.32106826	0.17072357	0.14791958
a31	0.12835246	0.1313668	0.10104053	0.31914344	0.18121241	0.13888437
a8	0.101639666	0.10138328	0.095570624	0.2883119	0.21059963	0.20249487
</S>	0.100234404	0.10052314	0.10014881	0.25972152	0.22413662	0.21523547
