 	il	dito	si	gonfiò	</S>
a39	0.33244523	0.09431082	0.24271269	0.1889292	0.14160208
a13	0.42855436	0.019335829	0.36863095	0.1526475	0.030831404
a31	0.512281	0.014808831	0.3346349	0.10002733	0.03824786
a20	0.5989246	0.020075217	0.29185277	0.049524326	0.03962305
a31	0.60751116	0.015669782	0.30631292	0.040335584	0.030170534
a11	0.67947495	0.038918056	0.15421817	0.06356151	0.06382741
a31	0.67429346	0.03996214	0.14681761	0.06894827	0.06997855
a39	0.39879698	0.12164401	0.1707383	0.15410845	0.15471232
a31	0.3321988	0.12814079	0.16410218	0.18691696	0.18864128
a41	0.18003538	0.1930423	0.20120528	0.21274123	0.21297573
a46	0.14630151	0.19559427	0.1932906	0.23201726	0.23279633
a31	0.19057539	0.20076941	0.20286548	0.20269905	0.20309068
</S>	0.18705404	0.20273371	0.20301624	0.20356847	0.20362753
