 	l	ho	sentito	quando	veniva	</S>
a31	0.21034841	0.20822243	0.21599537	0.19597478	0.10585704	0.06360193
a46	0.23850727	0.22130269	0.28450742	0.16779906	0.070447855	0.017435709
a41	0.29311615	0.23573604	0.3194003	0.11999585	0.023824254	0.007927386
a31	0.33819368	0.18943025	0.36466664	0.06908753	0.024697078	0.01392483
a24	0.36829093	0.15069465	0.3302986	0.06489118	0.05081786	0.03500681
a31	0.32819408	0.1410216	0.29245597	0.0806316	0.08357456	0.074122146
a15	0.2467409	0.14594004	0.254398	0.10623038	0.124424174	0.122266494
a46	0.18162043	0.15117697	0.21630044	0.1223379	0.16212858	0.16643569
a31	0.19449738	0.16989452	0.18782654	0.1538066	0.14721216	0.14676286
a0	0.17413013	0.16595861	0.17465255	0.1604795	0.16241363	0.16236559
a41	0.16522619	0.16568007	0.17392404	0.15975533	0.16750175	0.16791263
</S>	0.17235054	0.16993554	0.17289741	0.16527973	0.15991744	0.15961935
