 	lo	sentii	che	viene	</S>
a43	0.17603332	0.20231727	0.20012051	0.31798005	0.10354884
a17	0.16502775	0.19766423	0.28053698	0.31766465	0.039106373
a11	0.14623454	0.22250193	0.2623451	0.33572868	0.03318975
a31	0.12395981	0.20258416	0.24443518	0.3955377	0.033483163
a46	0.050917458	0.19065876	0.2341234	0.50600004	0.018300321
a6	0.040804584	0.20252474	0.20298831	0.5288351	0.02484726
a31	0.04409658	0.20668161	0.18014635	0.53645134	0.032624144
a15	0.070786566	0.1973142	0.15039471	0.4896609	0.091843694
a20	0.047904152	0.15923576	0.11714304	0.600393	0.0753241
a31	0.05541991	0.15956908	0.1362599	0.5598888	0.08886228
a17	0.12646876	0.18331766	0.17387089	0.35799408	0.15834865
a31	0.10436199	0.154115	0.17095311	0.40112555	0.16944435
a13	0.14469093	0.16953862	0.1857445	0.31297642	0.18704951
a39	0.13545723	0.16011949	0.19399442	0.30485803	0.20557082
a46	0.17163813	0.19765435	0.19376291	0.24771053	0.18923405
a31	0.1754459	0.20809785	0.1905754	0.24592295	0.17995791
a18	0.19174626	0.20013541	0.19649114	0.2173656	0.19426155
</S>	0.19129813	0.19845045	0.19854036	0.21393381	0.1977773
