 	essendosi	vestito	</S>
a46	0.38431302	0.4170187	0.19866827
a31	0.262312	0.67661035	0.061077643
a18	0.12581345	0.7667306	0.10745589
a31	0.18267287	0.7552169	0.062110215
a20	0.14080432	0.6762478	0.18294796
a46	0.16315114	0.6246125	0.21223633
a20	0.22746469	0.4751203	0.29741502
a31	0.24000475	0.45469174	0.30530345
a0	0.30940282	0.35686857	0.33372858
a46	0.28531942	0.38094282	0.3337378
a35	0.3300724	0.3385628	0.33136484
a46	0.32787067	0.3435864	0.3285429
a24	0.33236587	0.33565858	0.33197558
a46	0.33189034	0.33640704	0.33170265
a24	0.33331957	0.33374822	0.33293223
a31	0.33330938	0.33387703	0.33281362
</S>	0.33332977	0.33337536	0.33329493
