 	mia	figlia	vuole	andare	</S>
a46	0.26308998	0.27115387	0.27200806	0.103340045	0.09040805
a31	0.2248241	0.33829793	0.33233073	0.08653756	0.018009655
a7	0.27628604	0.33246535	0.29264554	0.081907846	0.016695198
a20	0.3213466	0.30930203	0.2683769	0.08590224	0.015072143
a31	0.27418563	0.3555125	0.3130417	0.043911394	0.01334881
a46	0.20751514	0.43611518	0.28390288	0.047914486	0.024552356
a31	0.166473	0.45726162	0.23202236	0.08959847	0.054644424
a46	0.13039598	0.39581534	0.22329895	0.15010291	0.100386865
a31	0.13250491	0.28385004	0.23019896	0.19964473	0.15380137
a11	0.11404539	0.21974298	0.23333892	0.23302937	0.19984332
a3	0.12430043	0.1856556	0.21175158	0.2483	0.22999234
a31	0.123172484	0.19640836	0.22772153	0.22729515	0.22540243
a27	0.15418653	0.20521395	0.21463008	0.213783	0.2121865
a0	0.12538764	0.18162644	0.22682166	0.23373924	0.23242502
</S>	0.1743262	0.20418851	0.20769906	0.20689245	0.20689374
