 	hai	già	mangiato	</S>
a38	0.12428771	0.42331627	0.3523566	0.10003947
a31	0.21301791	0.37825298	0.38586605	0.022863058
a20	0.13589261	0.4598266	0.38484502	0.019435743
a31	0.18331914	0.4492137	0.3507632	0.016703837
a27	0.15605785	0.49803814	0.31921092	0.02669313
a31	0.14240927	0.53776395	0.29304063	0.026786186
a20	0.10331056	0.46285203	0.35818762	0.0756498
a31	0.10457885	0.35216504	0.41000405	0.13325213
a39	0.10691057	0.2719353	0.41058773	0.21056642
a20	0.13399115	0.21956429	0.36976814	0.2766764
a10	0.14148246	0.26499152	0.30740482	0.28612122
</S>	0.17767496	0.27329376	0.2784486	0.27058274
