 	tutto	il	cibo	vuole	girato	</S>
a31	0.13816719	0.1767519	0.18701057	0.18586563	0.18296091	0.12924385
a8	0.08656299	0.1620308	0.2422924	0.2291071	0.24212563	0.03788103
a31	0.05010189	0.15586862	0.27919185	0.2167157	0.2700609	0.028061094
a29	0.036147635	0.10582625	0.29582137	0.23255518	0.3163202	0.013329365
a20	0.0357139	0.14633653	0.28725162	0.23174292	0.28630704	0.012648021
a39	0.03701847	0.16905028	0.28026804	0.23172577	0.2673684	0.014569044
a31	0.04894895	0.18787575	0.25841868	0.24854872	0.23915976	0.01704819
a0	0.01656766	0.092742786	0.3630092	0.18077156	0.33532277	0.011586037
a31	0.027082594	0.118468374	0.33344525	0.19420315	0.31320107	0.013599502
a24	0.0144281	0.054992996	0.3480594	0.10815714	0.4630367	0.011325677
a36	0.012823718	0.045794394	0.38888192	0.09683565	0.4450096	0.010654733
a11	0.0136858355	0.061372265	0.41817734	0.11198027	0.37917843	0.015605943
a17	0.016491247	0.099602856	0.41469076	0.11304136	0.33565462	0.020519229
a31	0.024069294	0.11595551	0.41282862	0.102324024	0.3246847	0.020137848
a6	0.014190054	0.032457728	0.50546086	0.06297025	0.36838967	0.016531391
a31	0.014643613	0.050489794	0.45688012	0.10797956	0.34849542	0.021511454
a24	0.033294402	0.05003724	0.39530668	0.06454872	0.41711193	0.039701045
a6	0.048142858	0.07479255	0.3351497	0.086107604	0.39600074	0.059806623
a31	0.050160024	0.0665617	0.35100108	0.11329531	0.35695484	0.06202703
a46	0.07200972	0.08516317	0.3061948	0.096489266	0.3599461	0.08019692
a39	0.114875406	0.13358475	0.20871986	0.14167227	0.2711192	0.13002847
a31	0.11430728	0.12073006	0.18082725	0.1401191	0.3238618	0.12015457
a41	0.1337515	0.13823316	0.18993472	0.14154972	0.25939727	0.13713358
a8	0.15210052	0.15745915	0.16862413	0.15927921	0.2061707	0.15636626
</S>	0.12885548	0.1300934	0.16020593	0.1421286	0.30871543	0.13000114
