 	Marika	è	che	si	sposa	domani	</S>
a27	0.27220586	0.11095746	0.10306291	0.10600896	0.16207832	0.11303759	0.13264889
a37	0.28599027	0.076543465	0.21807578	0.18535772	0.16924782	0.035757903	0.029027006
a31	0.44677913	0.04188739	0.19556417	0.1387152	0.12589656	0.027444387	0.023713222
a11	0.47506195	0.019101376	0.19741337	0.14326698	0.12998639	0.019858832	0.01531113
a31	0.4143666	0.038564313	0.22425511	0.1534382	0.13006198	0.021132115	0.01818159
a37	0.4775333	0.015759302	0.21806757	0.14277609	0.10818109	0.021869093	0.015813587
a31	0.5260389	0.017131459	0.20364766	0.12601866	0.09200039	0.020397816	0.014765123
a6	0.578156	0.021580381	0.15254255	0.0980606	0.08280425	0.03739787	0.029458374
a20	0.50268984	0.031583056	0.14753567	0.12089782	0.12020172	0.04277847	0.034313537
a31	0.50329167	0.037260547	0.105973125	0.08989555	0.1139221	0.078270555	0.071386434
a20	0.42539322	0.05434866	0.08465541	0.07963586	0.12096235	0.11975295	0.11525147
a31	0.35749286	0.06566133	0.107473284	0.09722646	0.1313309	0.12734616	0.11346898
a0	0.20258541	0.08994806	0.09189211	0.092481144	0.14444059	0.19072877	0.18792388
a20	0.21676007	0.09097638	0.10466254	0.100884885	0.117747836	0.19130984	0.17765848
a31	0.14991486	0.10492532	0.093778886	0.09852524	0.14716797	0.20319872	0.202489
</S>	0.1203969	0.12562189	0.09108572	0.106861636	0.16829886	0.19403894	0.1936961
