 	la	donna	vuole	pulire	la	casa	ogni	giorno	per	stare	pulita	</S>
a31	0.045940395	0.017473068	0.03700943	0.05003679	0.06647234	0.07490836	0.13370883	0.14533003	0.13809423	0.12989022	0.054618604	0.106517725
a18	0.07283261	0.0022487142	0.027492816	0.02234857	0.07861781	0.075593576	0.15046309	0.1596245	0.1304642	0.16654904	0.07464716	0.03911791
a31	0.060378168	0.0015139272	0.031110888	0.023098573	0.07014497	0.07017522	0.15091906	0.15985703	0.13478199	0.17767641	0.0836999	0.036643915
a24	0.07699873	0.002469959	0.025469648	0.01393285	0.070344694	0.056086957	0.12558994	0.15318674	0.12268334	0.27602106	0.05188764	0.025328506
a31	0.07727106	0.002108474	0.02038437	0.011456896	0.06823816	0.04988753	0.14232801	0.17263663	0.121146485	0.25708616	0.051275402	0.026180789
a17	0.092658706	0.0036569494	0.019066317	0.010865675	0.07370122	0.046844054	0.14343444	0.17102249	0.07815838	0.30022493	0.044628046	0.015738765
a31	0.08148587	0.003861822	0.014769106	0.010432879	0.058851797	0.034620143	0.14066039	0.18095854	0.06415922	0.35544792	0.038681507	0.016070778
a20	0.100576445	0.0054981722	0.018492054	0.012746865	0.07114415	0.041023824	0.14661123	0.17842615	0.051474866	0.31888863	0.04037273	0.014744883
a7	0.08458963	0.004841143	0.016992318	0.012459848	0.059391275	0.03367155	0.14028727	0.18064822	0.060825177	0.34924325	0.040990558	0.016059743
a31	0.07929749	0.0036904498	0.015874457	0.011428515	0.060610164	0.036344588	0.15176035	0.19315577	0.08567989	0.29774332	0.044638783	0.01977624
a18	0.09577372	0.0073325415	0.0174861	0.013870476	0.061756235	0.032529354	0.15177368	0.18967825	0.04082923	0.33554673	0.038251657	0.015172057
a41	0.075098656	0.005796564	0.017175613	0.0133187715	0.04995512	0.027037188	0.14588933	0.19540921	0.051538322	0.36459643	0.038434263	0.015750524
a31	0.068907596	0.0054114833	0.014073146	0.01153124	0.04511801	0.024406863	0.15594932	0.21498205	0.053040236	0.3537992	0.03335614	0.019424735
a46	0.079501085	0.011099383	0.018117018	0.017101984	0.050991617	0.026989257	0.15248963	0.20055614	0.032896157	0.35477462	0.037858084	0.01762496
a20	0.06323089	0.012612353	0.022483172	0.020576995	0.044894587	0.025597863	0.13459817	0.19920163	0.027503977	0.3981067	0.03233199	0.01886163
a31	0.055819295	0.010337404	0.021734174	0.018800223	0.039767414	0.024107754	0.12924163	0.2007065	0.031860393	0.41765994	0.029592097	0.020373084
a39	0.07078726	0.025751209	0.030526478	0.033178844	0.058413483	0.03539222	0.14007826	0.18931161	0.03180391	0.31121027	0.044800628	0.02874578
a31	0.06849674	0.020284845	0.033420708	0.03200444	0.056984443	0.03597978	0.1286669	0.17836939	0.031332705	0.35055244	0.03903618	0.024871418
a24	0.07470719	0.045634694	0.044118434	0.049856838	0.07410376	0.049366847	0.13284394	0.16364372	0.04394002	0.2203889	0.053891476	0.047504157
a31	0.07433722	0.02989856	0.042088196	0.04237189	0.0721162	0.044827294	0.13590787	0.16942172	0.037529375	0.27245754	0.046903785	0.032140303
a17	0.07429082	0.07362189	0.0571476	0.0676475	0.0812295	0.066039555	0.116776034	0.12721962	0.059039023	0.14187156	0.059966695	0.075150214
a31	0.08027654	0.07500927	0.06235565	0.07210597	0.08766721	0.069575705	0.110800855	0.11365438	0.061878607	0.12932533	0.060256086	0.07709435
a8	0.06767981	0.101756975	0.06428167	0.08477254	0.08033412	0.08317413	0.096472785	0.09679131	0.07189484	0.089828834	0.06015151	0.10286151
a24	0.06864808	0.10649669	0.06763147	0.09247878	0.08704062	0.088826105	0.08819124	0.085243694	0.07439958	0.07428897	0.05930697	0.107447766
a20	0.07107379	0.103428245	0.067190096	0.08493402	0.080515884	0.0835633	0.08781852	0.08827881	0.073768936	0.09088141	0.062765874	0.1057812
a41	0.05840061	0.08918784	0.0662181	0.0863188	0.08279757	0.08513321	0.0885817	0.09017787	0.082870334	0.11874454	0.049914666	0.101654835
a31	0.056140114	0.066467956	0.06009988	0.06829597	0.07200778	0.06753608	0.07968324	0.089799926	0.09229102	0.1860713	0.047918007	0.11368867
a46	0.07446712	0.083612144	0.07926591	0.084381886	0.085955426	0.083685815	0.08662235	0.086618744	0.08312746	0.0984386	0.06772061	0.086103976
a31	0.06452169	0.09276723	0.07560974	0.090996034	0.087490976	0.09005813	0.08780091	0.08705644	0.086005285	0.08552909	0.05643596	0.09572855
a20	0.07324374	0.08860916	0.081009775	0.08777403	0.08593538	0.08752925	0.086590715	0.08631056	0.08572874	0.08191882	0.06638829	0.088961564
a8	0.06240757	0.097411506	0.074230745	0.09311058	0.08562015	0.09252311	0.08777932	0.08704499	0.086720884	0.07853372	0.055391345	0.09922606
</S>	0.0779779	0.08035565	0.07914236	0.081420586	0.083666876	0.080820344	0.0822372	0.08275707	0.08322449	0.106748894	0.07321336	0.08843524
