 	non	vieni	alle	sette	perchè	io	non	sono	pronta	</S>
a8	0.047053237	0.042894542	0.0377392	0.038613677	0.1325657	0.15222359	0.17744887	0.040568303	0.27050847	0.06038436
a31	0.109153636	0.0898535	0.02131165	0.04046808	0.17331402	0.18379846	0.183815	0.015309964	0.16800232	0.014973324
a7	0.0611746	0.056155305	0.015577987	0.021065922	0.3037616	0.19402781	0.19866884	0.008291707	0.13557807	0.0056981323
a24	0.08432428	0.06555274	0.01861305	0.025906365	0.26534772	0.1991369	0.18962234	0.009070943	0.13420333	0.008222291
a38	0.092222795	0.07065053	0.010469737	0.016924825	0.24367386	0.21604359	0.2111378	0.005195071	0.12652327	0.007158442
a31	0.09033279	0.07339933	0.007502512	0.014244967	0.24269092	0.21902937	0.2188902	0.0045319353	0.121472776	0.007905225
a10	0.04936138	0.049168337	0.004603339	0.0074024224	0.3453395	0.21294819	0.23625506	0.0049995845	0.08278184	0.007140298
a11	0.050848417	0.050013207	0.0043939794	0.007629119	0.33275172	0.22639355	0.24021563	0.004835637	0.07774666	0.005172112
a31	0.049521502	0.048823424	0.0037618612	0.006802246	0.28212735	0.25122896	0.2472759	0.004249347	0.09909115	0.007118229
a20	0.026045319	0.034848236	0.0045798635	0.006346506	0.4126343	0.21458209	0.22281224	0.006517724	0.06304615	0.008587524
a10	0.023220126	0.033615373	0.004768001	0.0061706994	0.41520116	0.22020598	0.23371229	0.0063159666	0.050564047	0.006226384
a31	0.019085705	0.027324103	0.0041501215	0.0056298673	0.33679378	0.25834918	0.27521762	0.0050873593	0.061086185	0.0072760736
a21	0.015329295	0.02403215	0.0056177014	0.006427454	0.4383743	0.22459061	0.21852441	0.008273188	0.047737543	0.0110934
a31	0.013101148	0.021638522	0.0067977244	0.007321996	0.47431606	0.21121185	0.21152547	0.008154357	0.03606552	0.009867297
a20	0.014767557	0.024442634	0.009359799	0.0099123055	0.44490683	0.21315762	0.21139693	0.011819255	0.043827534	0.01640964
a13	0.016052278	0.022221815	0.012509213	0.012771056	0.48193705	0.19826765	0.18038625	0.013825213	0.042292785	0.01973662
a31	0.013162108	0.016762204	0.011307494	0.011359728	0.53207743	0.17049852	0.16461655	0.013071467	0.044596724	0.022547819
a41	0.01684461	0.02340896	0.014786328	0.014777955	0.44952494	0.19230427	0.1818674	0.018247467	0.058151476	0.030086644
a35	0.03208916	0.03430328	0.02968859	0.029382413	0.3937889	0.15754858	0.14371517	0.034533206	0.08446846	0.06048226
a31	0.03027366	0.033011936	0.03254669	0.030832533	0.42978486	0.10889017	0.12135734	0.044569675	0.10410249	0.06463065
a24	0.03318298	0.037981927	0.036046997	0.03425545	0.33993718	0.13532184	0.14570037	0.049316965	0.11620278	0.072053485
a37	0.05378655	0.054010432	0.0532509	0.050546266	0.21420719	0.12445496	0.1219254	0.07265574	0.14966124	0.10550132
a27	0.0552183	0.06647068	0.07465242	0.0666329	0.20540959	0.087975256	0.103351094	0.09533956	0.14087221	0.104077935
a20	0.053808674	0.065345325	0.070249684	0.06544923	0.29980797	0.08471905	0.097324826	0.07793677	0.105162926	0.080195576
a31	0.047511306	0.05557643	0.058015753	0.0552757	0.38507664	0.085565366	0.09953318	0.061964046	0.08822793	0.06325366
a37	0.06875891	0.07815271	0.080765545	0.07814488	0.21301827	0.09540023	0.103073224	0.08424481	0.11337889	0.08506258
a31	0.08017612	0.09030532	0.09358359	0.09056064	0.1553017	0.0917235	0.097776406	0.09754628	0.10450713	0.09851933
</S>	0.079349525	0.09095485	0.094787665	0.091406725	0.12548463	0.095742784	0.10460827	0.09927802	0.11803485	0.10035268
