 	e	che	cucino	</S>
a31	0.39903152	0.41535127	0.12754719	0.058069993
a24	0.47295564	0.46711174	0.04614522	0.013787497
a31	0.55646247	0.414704	0.021002285	0.007831211
a11	0.6116273	0.33143046	0.037844215	0.019098025
a46	0.6420046	0.2555475	0.06392727	0.038520616
a41	0.4782099	0.28632814	0.12142376	0.11403818
a20	0.5024875	0.24768421	0.12704208	0.12278627
a36	0.5188297	0.22601181	0.1292421	0.12591636
a31	0.4934913	0.22354005	0.14314926	0.1398194
a46	0.29746708	0.24227236	0.23047005	0.22979048
</S>	0.287571	0.24413177	0.23437221	0.23392503
