 	forse	sono	usciti	</S>
a23	0.5094107	0.060257923	0.36997375	0.060357608
a31	0.5081825	0.040993206	0.39917654	0.051647663
a23	0.6092605	0.02184545	0.3525601	0.016333919
a31	0.6151263	0.022485647	0.3436417	0.018746324
a10	0.726002	0.02413443	0.22935997	0.020503595
a37	0.76065975	0.02066616	0.2001272	0.018546931
a31	0.8069218	0.023675852	0.1431154	0.026286883
a37	0.7942498	0.04129461	0.12113445	0.043321133
a31	0.62372375	0.07686329	0.20084812	0.09856485
a39	0.46743536	0.14648508	0.22272637	0.16335316
a31	0.33935183	0.18698752	0.24738237	0.22627825
</S>	0.30941984	0.22423136	0.23618643	0.23016241
