 	non	aveva	cosa	a	fare	</S>
a31	0.115120366	0.14168273	0.19176887	0.2743238	0.20031163	0.07679258
a18	0.20047893	0.20901293	0.19199441	0.25067934	0.13228045	0.015553938
a24	0.1887262	0.2062656	0.21551177	0.24793911	0.12866612	0.012891214
a20	0.2044832	0.21118134	0.19047898	0.29591078	0.08792864	0.010017081
a31	0.2278045	0.20751713	0.12184406	0.32739577	0.09938037	0.016058182
a18	0.19160257	0.13407794	0.07040838	0.4388097	0.11638845	0.048713
a31	0.19985245	0.15290847	0.084895186	0.3937776	0.12200094	0.04656539
a17	0.11120924	0.10019536	0.1001494	0.37738937	0.16736586	0.1436907
a20	0.108144	0.0991367	0.09286673	0.37899703	0.17223972	0.14861584
a31	0.09569392	0.09422741	0.11337485	0.35974756	0.17692964	0.1600267
</S>	0.11922956	0.13348678	0.16760594	0.2146196	0.18378028	0.18127786
