 	questo	muro	vuole	uno	specchio	</S>
a31	0.1256387	0.13025674	0.14814277	0.18910529	0.28949776	0.1173587
a24	0.22207572	0.18629494	0.18692242	0.18536079	0.18326028	0.03608588
a31	0.24227415	0.2115351	0.20684293	0.1669991	0.1488806	0.02346816
a41	0.25261644	0.19520557	0.22963135	0.18418768	0.13073619	0.0076227994
a39	0.25591964	0.20347181	0.23520008	0.17971335	0.12005597	0.0056391885
a43	0.2528192	0.21558292	0.22454073	0.17018135	0.12982316	0.007052633
a24	0.2544911	0.21569124	0.21133515	0.16483586	0.14237447	0.011272236
a37	0.2716285	0.20536242	0.19840913	0.1621819	0.15028983	0.012128264
a20	0.2583807	0.20921914	0.20186797	0.16274814	0.15247218	0.015311883
a41	0.24919972	0.21733502	0.21189857	0.164749	0.14477777	0.0120398905
a18	0.26939875	0.22096913	0.21616131	0.1531195	0.13086411	0.009487218
a31	0.28599465	0.2153734	0.20971836	0.15150483	0.12761088	0.009797891
a11	0.3006639	0.24104477	0.26950324	0.095268674	0.08339594	0.010123408
a31	0.3508007	0.2164683	0.23677576	0.10603828	0.08176488	0.008152112
a29	0.25966343	0.1969084	0.25314358	0.12055559	0.13300973	0.03671928
a7	0.296862	0.19883116	0.25126052	0.12108629	0.107731335	0.024228662
a31	0.2468052	0.19580935	0.2460676	0.12666652	0.13795081	0.046700474
a37	0.1808212	0.14287707	0.20205832	0.17749883	0.18480156	0.111943014
a31	0.18660124	0.13084184	0.15754922	0.15814373	0.21242474	0.15443927
a20	0.15225539	0.12981011	0.168326	0.18157199	0.19947556	0.16856086
</S>	0.14702152	0.11680609	0.14324477	0.18114437	0.2152231	0.19656016
