 	li	vestono	i	genitori	</S>
a31	0.13990343	0.24985923	0.15322138	0.28725508	0.1697609
a46	0.1609405	0.3172791	0.12318868	0.32569563	0.07289606
a18	0.15515505	0.30446514	0.08437941	0.3887318	0.06726866
a35	0.14540543	0.34095496	0.07269573	0.38280308	0.05814086
a15	0.12233323	0.35548982	0.04146061	0.40231794	0.078398444
a39	0.10135363	0.3801007	0.04850462	0.36606476	0.103976294
a31	0.08294762	0.36660653	0.062289823	0.35419858	0.13395739
a11	0.10229021	0.2057563	0.1601333	0.31582934	0.21599086
a20	0.08937667	0.24002412	0.104437195	0.36977503	0.196387
a31	0.07965733	0.21840475	0.1232338	0.36146387	0.21724027
a39	0.122559115	0.18362375	0.20280913	0.2645912	0.22641678
a20	0.10086756	0.16589054	0.17661011	0.31866148	0.23797032
a46	0.09692376	0.17688179	0.16838416	0.32101458	0.2367957
a31	0.12516361	0.19432074	0.19084933	0.27031362	0.21935272
a15	0.16293302	0.19348294	0.20381452	0.226597	0.2131725
a24	0.12476812	0.17758806	0.21164769	0.25628948	0.22970665
a20	0.13642268	0.17784186	0.21486107	0.24257474	0.22829965
a31	0.15643042	0.1898437	0.17827071	0.25903004	0.21642514
a13	0.19218712	0.19882049	0.19849853	0.20827566	0.20221817
a46	0.17167032	0.19561477	0.20303157	0.21988732	0.20979606
a14	0.18908857	0.19821732	0.19731373	0.212257	0.20312339
a20	0.18116996	0.19454058	0.19445331	0.22319753	0.20663859
a31	0.17799886	0.19118653	0.18340541	0.23851617	0.208893
</S>	0.19772227	0.19923583	0.19873242	0.20366734	0.20064214
