 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.029032694	0.029020058	0.12464855	0.08265361	0.093884215	0.18366991	0.15008722	0.1923394	0.11466427
a13	0.054284547	0.0077610025	0.17437091	0.14092453	0.12746827	0.1717757	0.11433457	0.14862926	0.06045116
a0	0.059333444	0.008378639	0.16139957	0.14002527	0.13895896	0.16214147	0.12769091	0.15098663	0.051085155
a31	0.07155305	0.0071163136	0.16549625	0.119838625	0.12586325	0.170546	0.1250824	0.1659351	0.04856895
a18	0.06155311	0.0050512976	0.13611984	0.08206839	0.049515463	0.27741644	0.06668942	0.28643584	0.03515028
a31	0.07353034	0.0045331283	0.1578555	0.10037836	0.09202908	0.21400519	0.111484595	0.20674	0.03944382
a28	0.06776177	0.006390363	0.15941073	0.07378493	0.035023518	0.2570091	0.03105719	0.34949195	0.020070419
a20	0.052723996	0.007370527	0.15337454	0.06335765	0.03097002	0.31206617	0.026523208	0.33237216	0.021241726
a31	0.044129666	0.006363135	0.16723531	0.06226898	0.03007547	0.34449282	0.034333363	0.28504357	0.026057657
a7	0.048725672	0.011039884	0.17452212	0.070124336	0.03135005	0.28913504	0.027980821	0.32512158	0.022000566
a38	0.048892915	0.011781982	0.16047718	0.067798	0.03630915	0.30797333	0.02821185	0.31396726	0.024588363
a24	0.03531135	0.013382681	0.15992571	0.06924766	0.030391786	0.32868198	0.04004773	0.28175348	0.041257646
a46	0.039612986	0.007610793	0.17675345	0.06865713	0.033880014	0.3374574	0.04026215	0.26585016	0.029916005
a31	0.03204035	0.012986717	0.15640849	0.08878276	0.043949597	0.28144795	0.07036941	0.25776908	0.056245636
a38	0.037136678	0.030130832	0.17135759	0.083911456	0.04663091	0.224929	0.06059928	0.27725792	0.06804637
a31	0.043530542	0.028511146	0.18400848	0.09321351	0.045655467	0.23401369	0.051647283	0.2628695	0.056550365
a13	0.052395724	0.0484279	0.19115908	0.10883273	0.06739732	0.15746143	0.08085135	0.22063737	0.0728372
a31	0.063382536	0.05346906	0.20047116	0.10384043	0.06413532	0.1654852	0.07012383	0.21021396	0.068878494
a8	0.06277081	0.063635156	0.17578284	0.11613955	0.084655926	0.13126597	0.10519582	0.1692625	0.091291375
a20	0.07050699	0.071525395	0.15997846	0.11459462	0.09010504	0.12278324	0.11328833	0.15949611	0.09772183
a31	0.054116476	0.055129714	0.13546474	0.090985484	0.07288376	0.14186877	0.0972619	0.25153702	0.1007521
a15	0.05654892	0.071725674	0.13819578	0.11837815	0.10162986	0.12260539	0.11650688	0.16483364	0.10957573
a31	0.06759624	0.06880914	0.15104356	0.10555278	0.08619773	0.122852445	0.11018162	0.18986024	0.09790616
a20	0.060151283	0.07921101	0.1220118	0.12320025	0.11075451	0.117631465	0.1259362	0.14319755	0.11790596
a39	0.06877526	0.07391442	0.12858757	0.11285221	0.09642298	0.115438856	0.12318257	0.17255498	0.108271204
a31	0.043004584	0.065954685	0.10822649	0.0905759	0.08441464	0.14504531	0.097308196	0.24603112	0.11943907
a8	0.058750637	0.09550395	0.12482801	0.11769913	0.11246653	0.12004973	0.11623188	0.13931003	0.115160055
a31	0.05895449	0.08802641	0.11549275	0.121369414	0.11529768	0.118271306	0.12463428	0.13761546	0.120338276
a37	0.06062198	0.0969832	0.10960615	0.12186945	0.11847575	0.11781898	0.12429192	0.12875466	0.121577874
a20	0.05789949	0.08480239	0.10702995	0.11882847	0.11262906	0.11694241	0.1231919	0.15888637	0.11978997
a8	0.053728156	0.08490032	0.1031387	0.094875515	0.093143865	0.12905577	0.09981672	0.2236364	0.11770456
a20	0.06585276	0.084712386	0.12583698	0.09157537	0.087857954	0.13185605	0.091479115	0.21524933	0.105579965
a31	0.041252818	0.065807305	0.09042406	0.07602739	0.07529795	0.17220722	0.105811216	0.22147393	0.15169814
</S>	0.09235375	0.10285085	0.11056129	0.10441077	0.10385512	0.112015575	0.10476581	0.16062953	0.108557306
